"","P_daily_4","P_daily_6","P_daily_8","dates"
"1",24622,24622,24622,2020-12-20
"2",39331.029,39099.5563333333,39185.5353333333,2020-12-21
"3",32991.6923333333,32806.9493333333,32876.514,2020-12-22
"4",28463.4793333333,28320.105,28371.324,2020-12-23
"5",25228.1703333333,25124.5123333333,25163.1786666667,2020-12-24
"6",22930.8706666667,22846.7363333333,22872.094,2020-12-25
"7",21280.6343333333,21229.203,21242.586,2020-12-26
"8",20102.733,20071.9813333333,20082.2873333333,2020-12-27
"9",19258.8153333333,19250.615,19250.6486666667,2020-12-28
"10",18664.288,18665.247,18664.0563333333,2020-12-29
"11",18235.4223333333,18249.95,18238.8373333333,2020-12-30
"12",17924.8633333333,17957.6343333333,17936.532,2020-12-31
"13",17705.1143333333,17747.607,17728.4403333333,2021-01-01
"14",17544.453,17598.4416666667,17576.1326666667,2021-01-02
"15",17427.7516666667,17491.0803333333,17460.2863333333,2021-01-03
"16",17340.3246666667,17415.5896666667,17379.0296666667,2021-01-04
"17",17276.3166666667,17363.2746666667,17320.291,2021-01-05
"18",17227.0876666667,17320.392,17276.0466666667,2021-01-06
"19",17190.6633333333,17289.5443333333,17239.791,2021-01-07
"20",17156.4486666667,17265.707,17216.384,2021-01-08
"21",17124.07,17244.5303333333,17193.7046666667,2021-01-09
"22",17108.8006666667,17232.9673333333,17169.8876666667,2021-01-10
"23",17078.036,17222.2046666667,17159.718,2021-01-11
"24",17061.3806666667,17205.0063333333,17139.1716666667,2021-01-12
"25",20488.1166666667,19019.0426666667,20407.6193333333,2021-01-13
"26",18626.3993333333,17549.3093333333,18562.2356666667,2021-01-14
"27",17119.171,16367.481,17071.331,2021-01-15
"28",15882.9073333333,15398.2033333333,15850.275,2021-01-16
"29",14856.7656666667,14578.2453333333,14831.952,2021-01-17
"30",13982.9593333333,13883.582,13974.0473333333,2021-01-18
"31",13232.0033333333,13283.0566666667,13228.1936666667,2021-01-19
"32",12578.8806666667,12754.2323333333,12582.1003333333,2021-01-20
"33",12000.766,12277.88,12008.8646666667,2021-01-21
"34",11471.9076666667,11842.403,11491.7723333333,2021-01-22
"35",11000.3816666667,11447.3563333333,11016.7903333333,2021-01-23
"36",10559.6076666667,11080.302,10583.3963333333,2021-01-24
"37",10151.346,10728.2463333333,10182.862,2021-01-25
"38",9769.489,10404.5633333333,9802.839,2021-01-26
"39",9408.113,10088.478,9447.91966666667,2021-01-27
"40",16700.9336666667,17644.061,16963.889,2021-01-28
"41",15573.755,16194.9733333333,15769.3173333333,2021-01-29
"42",14591.9883333333,14972.182,14734.6333333333,2021-01-30
"43",13731.2833333333,13922.8336666667,13824.7623333333,2021-01-31
"44",12958.1883333333,13013.48,13023.9816666667,2021-02-01
"45",12268.168,12217.484,12305.4556666667,2021-02-02
"46",11635.293,11508.8626666667,11646.647,2021-02-03
"47",11060.0573333333,10865.9256666667,11054.942,2021-02-04
"48",10527.7023333333,10295.6456666667,10504.3886666667,2021-02-05
"49",10030.6733333333,9763.20733333333,9998.18733333333,2021-02-06
"50",9566.79233333333,9274.42666666667,9527.33,2021-02-07
"51",9129.971,8826.07433333333,9081.673,2021-02-08
"52",8720.65233333333,8400.21433333333,8665.20466666667,2021-02-09
"53",8332.922,8009.53066666667,8270.95733333333,2021-02-10
"54",7963.832,7640.16866666667,7899.34366666667,2021-02-11
"55",10987.046,10410.839,8893.90933333333,2021-02-12
"56",12065.7306666667,11653.5566666667,10489.1523333333,2021-02-13
"57",12798.2166666667,12511.004,11633.7553333333,2021-02-14
"58",13282.7543333333,13095.0723333333,12458.3343333333,2021-02-15
"59",13590.1056666667,13479.8926666667,13054.1976666667,2021-02-16
"60",13761.356,13720.0973333333,13482.3626666667,2021-02-17
"61",13848.2966666667,13858.0026666667,13799.6613333333,2021-02-18
"62",13855.202,13924.0136666667,14029.5666666667,2021-02-19
"63",13820.8426666667,13933.2566666667,14204.515,2021-02-20
"64",13744.582,13901.202,14327.5643333333,2021-02-21
"65",13650.2973333333,13842.6493333333,14422.999,2021-02-22
"66",13535.2206666667,13767.2423333333,14501.6236666667,2021-02-23
"67",13411.5353333333,13678.8033333333,14566.0166666667,2021-02-24
"68",13273.147,13569.4246666667,14613.2803333333,2021-02-25
"69",13135.876,13467.1536666667,14649.7663333333,2021-02-26
"70",14068.635,14264.7573333333,14217.381,2021-02-27
"71",15523.834,15630.8646666667,15407.604,2021-02-28
"72",16643.4436666667,16693.3376666667,16370.5953333333,2021-03-01
"73",17540.3726666667,17537.314,17178.2716666667,2021-03-02
"74",18270.5843333333,18245.578,17889.219,2021-03-03
"75",18896.6973333333,18858.8206666667,18529.4283333333,2021-03-04
"76",19451.6966666667,19399.7886666667,19130.3063333333,2021-03-05
"77",19951.6466666667,19897.4923333333,19704.5723333333,2021-03-06
"78",20425.4623333333,20368.3086666667,20262.939,2021-03-07
"79",20869.6313333333,20820.136,20820.3753333333,2021-03-08
"80",21317.4223333333,21265.4433333333,21367.506,2021-03-09
"81",21748.6323333333,21702.8703333333,21927.036,2021-03-10
"82",22179.7453333333,22135.4616666667,22486.0173333333,2021-03-11
"83",22613.8603333333,22566.4366666667,23065.2436666667,2021-03-12
"84",23045.7756666667,23007.3596666667,23645.0583333333,2021-03-13
"85",26269.673,26175.3443333333,26578.8396666667,2021-03-14
"86",29722.6673333333,29630.5426666667,29773.4796666667,2021-03-15
"87",32662.981,32576.8063333333,32570.255,2021-03-16
"88",35295.9826666667,35213.788,35109.8993333333,2021-03-17
"89",37770.6316666667,37688.727,37530.8496666667,2021-03-18
"90",40168.9253333333,40096.8703333333,39917.9606666667,2021-03-19
"91",42545.703,42492.071,42315.066,2021-03-20
"92",44963.7393333333,44927.501,44754.099,2021-03-21
"93",47443.7443333333,47412.48,47287.288,2021-03-22
"94",50011.8873333333,50009.855,49904.22,2021-03-23
"95",52681.7283333333,52688.2883333333,52635.362,2021-03-24
"96",55468.7686666667,55495.4336666667,55497.776,2021-03-25
"97",58386.701,58426.9886666667,58485.269,2021-03-26
"98",61433.3666666667,61491.412,61620.4313333333,2021-03-27
"99",64630.6453333333,64708.708,64899.6016666667,2021-03-28
"100",67973.789,68075.5036666667,68339.817,2021-03-29
"101",71482.1406666667,71594.4343333333,71948.902,2021-03-30
"102",73896.2083333333,73956.5176666667,74369.5926666667,2021-03-31
"103",76395.1353333333,76423.728,76905.952,2021-04-01
"104",78943.7996666667,78971.357,79522.33,2021-04-02
"105",81503.7586666667,81556.23,82179.6856666667,2021-04-03
"106",84079.6696666667,84158.7316666667,84842.4396666667,2021-04-04
"107",86631.2853333333,86745.915,87501.9396666667,2021-04-05
"108",89164.029,89317.304,90160.442,2021-04-06
"109",91660.523,91867.928,92765.511,2021-04-07
"110",94115.6086666667,94375.8116666667,95334.454,2021-04-08
"111",96534.5183333333,96827.6946666667,97861.9046666667,2021-04-09
"112",98888.8426666667,99234.3023333333,100316.073333333,2021-04-10
"113",101185.471666667,101601.322,102730.019666667,2021-04-11
"114",103414.017666667,103863.562,105059.79,2021-04-12
"115",105590.218,106099.946666667,107323.433666667,2021-04-13
"116",107698.506,108224.729333333,109490.203,2021-04-14
"117",109749.823666667,110294.534666667,111574.381333333,2021-04-15
"118",111715.460666667,112291.937333333,113587.451333333,2021-04-16
"119",113590.125333333,114190.316666667,115505.132666667,2021-04-17
"120",115423.629333333,116018.398,117331.362333333,2021-04-18
"121",117160.22,117738.964,119045.082666667,2021-04-19
"122",118831.804666667,119386.497333333,120676.332666667,2021-04-20
"123",120469.416333333,120954.156,122214.387666667,2021-04-21
"124",122039.591666667,122413.337,123649.467666667,2021-04-22
"125",123543.185666667,123780.413,124986.489666667,2021-04-23
"126",125025.379333333,125066.258333333,126216.270333333,2021-04-24
"127",126441.695666667,126272.263333333,127351.358,2021-04-25
"128",127891.960666667,127367.704333333,128405.107333333,2021-04-26
