"","value","dates"
"1",373932,2020-12-09
"2",403959.253333333,2020-12-10
"3",423961.203333333,2020-12-11
"4",436822.499,2020-12-12
"5",444613.547333333,2020-12-13
"6",448824.012,2020-12-14
"7",450510.447666667,2020-12-15
"8",450430.846333333,2020-12-16
"9",449143.629,2020-12-17
"10",447013.301666667,2020-12-18
"11",444327.537,2020-12-19
"12",441283.308,2020-12-20
"13",438015.485666667,2020-12-21
"14",434609.400666667,2020-12-22
"15",431139.094,2020-12-23
"16",427663.840666667,2020-12-24
"17",424202.757,2020-12-25
"18",420781.636333333,2020-12-26
"19",417399.375,2020-12-27
"20",414078.879,2020-12-28
"21",410819.082333333,2020-12-29
"22",407622.935333333,2020-12-30
"23",404491.755333333,2020-12-31
"24",401427.133666667,2021-01-01
"25",406147.013666667,2021-01-02
"26",407595.164333333,2021-01-03
"27",406531.076,2021-01-04
"28",403531.682,2021-01-05
"29",399034.839,2021-01-06
"30",393399.163,2021-01-07
"31",386885.540333333,2021-01-08
"32",379705.583,2021-01-09
"33",372021.702,2021-01-10
"34",363977.694333333,2021-01-11
"35",355670.859666667,2021-01-12
"36",347178.573666667,2021-01-13
"37",338577.521666667,2021-01-14
"38",329910.873666667,2021-01-15
"39",321225.821333333,2021-01-16
"40",320762.608,2021-01-17
"41",319521.684333333,2021-01-18
"42",317591.608,2021-01-19
"43",315058.166,2021-01-20
"44",311988.323333333,2021-01-21
"45",308445.069333333,2021-01-22
"46",304490.739666667,2021-01-23
"47",300168.019666667,2021-01-24
"48",295528.515666667,2021-01-25
"49",290618.006,2021-01-26
"50",285472.557333333,2021-01-27
"51",280128.82,2021-01-28
"52",274625.289333333,2021-01-29
"53",268980.060333333,2021-01-30
"54",263234.232333333,2021-01-31
"55",259174.588666667,2021-02-01
"56",255794.447333333,2021-02-02
"57",252848.155333333,2021-02-03
"58",250182.688333333,2021-02-04
"59",247676.622666667,2021-02-05
"60",245246.239333333,2021-02-06
"61",242832.872666667,2021-02-07
"62",240396.648,2021-02-08
"63",237910.411333333,2021-02-09
"64",235362.547333333,2021-02-10
"65",232747.482333333,2021-02-11
"66",230061.422333333,2021-02-12
"67",227304.059333333,2021-02-13
"68",224479.666333333,2021-02-14
"69",221588.330666667,2021-02-15
"70",219977.154666667,2021-02-16
"71",219628.505666667,2021-02-17
"72",220174.469333333,2021-02-18
"73",221341.109,2021-02-19
"74",222948.421,2021-02-20
"75",224855.886666667,2021-02-21
"76",226977.995666667,2021-02-22
"77",229244.825,2021-02-23
"78",231615.205666667,2021-02-24
"79",234051.315666667,2021-02-25
"80",236536.081666667,2021-02-26
"81",239054.655666667,2021-02-27
"82",241592.263,2021-02-28
"83",244143.121333333,2021-03-01
"84",246712.139666667,2021-03-02
"85",247433.399666667,2021-03-03
"86",249906.424666667,2021-03-04
"87",253720.812,2021-03-05
"88",258610.450333333,2021-03-06
"89",264392.639333333,2021-03-07
"90",270940.754,2021-03-08
"91",278182.346666667,2021-03-09
"92",286074.284,2021-03-10
"93",294579.507333333,2021-03-11
"94",303695.874666667,2021-03-12
"95",313395.590666667,2021-03-13
"96",323690.244666667,2021-03-14
"97",334580.348,2021-03-15
"98",346074.293,2021-03-16
"99",358186.811,2021-03-17
"100",370929.653333333,2021-03-18
"101",384312.330333333,2021-03-19
"102",397739.559666667,2021-03-20
"103",411245.542333333,2021-03-21
"104",424840.649666667,2021-03-22
"105",438515.336333333,2021-03-23
