"","value","dates"
"1",541,2020-12-03
"2",229.725666666667,2020-12-04
"3",249.607666666667,2020-12-05
"4",262.908666666667,2020-12-06
"5",271.634666666667,2020-12-07
"6",277.739,2020-12-08
"7",280.597,2020-12-09
"8",281.96,2020-12-10
"9",282.287333333333,2020-12-11
"10",280.813666666667,2020-12-12
"11",279.4,2020-12-13
"12",278.542333333333,2020-12-14
"13",276.572666666667,2020-12-15
"14",274.61,2020-12-16
"15",272.432333333333,2020-12-17
"16",270.222666666667,2020-12-18
"17",267.694,2020-12-19
"18",266.231666666667,2020-12-20
"19",262.993,2020-12-21
"20",261.766,2020-12-22
"21",259.907,2020-12-23
"22",257.098,2020-12-24
"23",254.917,2020-12-25
"24",253.330666666667,2020-12-26
"25",251.335666666667,2020-12-27
"26",249.320666666667,2020-12-28
"27",247.139333333333,2020-12-29
"28",245.068,2020-12-30
"29",241.62,2020-12-31
"30",238.684333333333,2021-01-01
"31",234.741,2021-01-02
"32",230.786666666667,2021-01-03
"33",228.215,2021-01-04
"34",224.337,2021-01-05
"35",220.873666666667,2021-01-06
"36",217.089666666667,2021-01-07
"37",213.222666666667,2021-01-08
"38",209.368666666667,2021-01-09
"39",206.446333333333,2021-01-10
"40",201.891333333333,2021-01-11
"41",199.537666666667,2021-01-12
"42",196.947,2021-01-13
"43",194.631333333333,2021-01-14
"44",191.476666666667,2021-01-15
"45",188.726333333333,2021-01-16
"46",185.791,2021-01-17
"47",182.912,2021-01-18
"48",179.939333333333,2021-01-19
"49",177.704,2021-01-20
"50",173.984666666667,2021-01-21
"51",171.356,2021-01-22
"52",168.630333333333,2021-01-23
"53",166.023666666667,2021-01-24
"54",162.525,2021-01-25
"55",160.122666666667,2021-01-26
"56",158.069333333333,2021-01-27
"57",156.705333333333,2021-01-28
"58",155.201,2021-01-29
"59",153.110666666667,2021-01-30
"60",151.425,2021-01-31
"61",149.605333333333,2021-02-01
"62",147.793333333333,2021-02-02
"63",146.247,2021-02-03
"64",144.160333333333,2021-02-04
"65",141.92,2021-02-05
"66",139.92,2021-02-06
"67",138.177333333333,2021-02-07
"68",136.229,2021-02-08
"69",134.140666666667,2021-02-09
"70",132.004666666667,2021-02-10
"71",129.429,2021-02-11
"72",127.938333333333,2021-02-12
"73",126.684666666667,2021-02-13
"74",125.852666666667,2021-02-14
"75",125.544333333333,2021-02-15
"76",125.202,2021-02-16
"77",125.102333333333,2021-02-17
"78",124.872,2021-02-18
"79",125.376666666667,2021-02-19
"80",125.576666666667,2021-02-20
