"","value","dates"
"1",305703,2021-01-05
"2",327582.718,2021-01-06
"3",341942.379,2021-01-07
"4",351013.595333333,2021-01-08
"5",356390.576333333,2021-01-09
"6",359183.244333333,2021-01-10
"7",360205.951333333,2021-01-11
"8",360011.749,2021-01-12
"9",359003.870333333,2021-01-13
"10",357475.291333333,2021-01-14
"11",355614.183,2021-01-15
"12",353561.528,2021-01-16
"13",351415.608333333,2021-01-17
"14",349239.037666667,2021-01-18
"15",347081.418666667,2021-01-19
"16",344967.815,2021-01-20
"17",342915.108,2021-01-21
"18",340942.317333333,2021-01-22
"19",339050.525333333,2021-01-23
"20",337245.748666667,2021-01-24
"21",335519.289666667,2021-01-25
"22",333877.921,2021-01-26
"23",332312.567666667,2021-01-27
"24",330821.179,2021-01-28
"25",331555.747333333,2021-01-29
"26",330702.622,2021-01-30
"27",328640.300666667,2021-01-31
"28",325661.449333333,2021-02-01
"29",321988.594,2021-02-02
"30",317792.559333333,2021-02-03
"31",313194.918666667,2021-02-04
"32",308297.53,2021-02-05
"33",303193.311,2021-02-06
"34",297924.406,2021-02-07
"35",292527.319666667,2021-02-08
"36",287051.646333333,2021-02-09
"37",281521.766333333,2021-02-10
"38",275963.539333333,2021-02-11
"39",270396.296,2021-02-12
"40",272092.313666667,2021-02-13
"41",272471.015,2021-02-14
"42",271789.489,2021-02-15
"43",270234.569333333,2021-02-16
"44",267972.036666667,2021-02-17
"45",265133.070666667,2021-02-18
"46",261815.356666667,2021-02-19
"47",258103.044,2021-02-20
"48",254065.263,2021-02-21
"49",249770.126,2021-02-22
"50",245260.12,2021-02-23
"51",240577.718333333,2021-02-24
"52",235751.288333333,2021-02-25
"53",230817.603,2021-02-26
"54",225798.990333333,2021-02-27
"55",223315.006333333,2021-02-28
"56",222217.438333333,2021-03-01
"57",222054.848,2021-03-02
"58",222503.786666667,2021-03-03
"59",223345.497333333,2021-03-04
"60",224419.47,2021-03-05
"61",225600.371,2021-03-06
"62",226813.428666667,2021-03-07
"63",228015.773333333,2021-03-08
"64",229157.206666667,2021-03-09
"65",230216.720666667,2021-03-10
"66",231183.496666667,2021-03-11
"67",232046.427333333,2021-03-12
"68",232798.969,2021-03-13
"69",233445.223333333,2021-03-14
"70",234623.446,2021-03-15
"71",237034.999333333,2021-03-16
"72",240327.105,2021-03-17
"73",244264.118,2021-03-18
"74",248677.774666667,2021-03-19
"75",253459.288333333,2021-03-20
"76",258529.212666667,2021-03-21
"77",263824.581,2021-03-22
"78",269313.736333333,2021-03-23
"79",274970.480333333,2021-03-24
"80",280778.124666667,2021-03-25
"81",286726.221333333,2021-03-26
"82",292801.980666667,2021-03-27
"83",299011.508,2021-03-28
"84",305351.930333333,2021-03-29
"85",314545.036666667,2021-03-30
"86",326598.514666667,2021-03-31
"87",340871.888666667,2021-04-01
"88",356943.147,2021-04-02
"89",374576.344333333,2021-04-03
"90",393605.096666667,2021-04-04
"91",413951.393666667,2021-04-05
"92",435591.868333333,2021-04-06
"93",458500.288,2021-04-07
