"","value","dates"
"1",265,2021-01-05
"2",121.450666666667,2021-01-06
"3",130.535,2021-01-07
"4",136.860666666667,2021-01-08
"5",141.036666666667,2021-01-09
"6",143.491666666667,2021-01-10
"7",144.500333333333,2021-01-11
"8",145.527,2021-01-12
"9",146.049666666667,2021-01-13
"10",145.156666666667,2021-01-14
"11",145.094,2021-01-15
"12",144.359,2021-01-16
"13",143.474,2021-01-17
"14",143.394666666667,2021-01-18
"15",142.486666666667,2021-01-19
"16",141.720333333333,2021-01-20
"17",141.117333333333,2021-01-21
"18",140.013,2021-01-22
"19",139.986666666667,2021-01-23
"20",139.523666666667,2021-01-24
"21",138.778,2021-01-25
"22",138.346333333333,2021-01-26
"23",137.967666666667,2021-01-27
"24",137.378666666667,2021-01-28
"25",136.863666666667,2021-01-29
"26",138.146,2021-01-30
"27",138.642,2021-01-31
"28",138.244,2021-02-01
"29",137.299,2021-02-02
"30",135.975,2021-02-03
"31",134.536333333333,2021-02-04
"32",132.729333333333,2021-02-05
"33",130.978333333333,2021-02-06
"34",128.628333333333,2021-02-07
"35",126.903,2021-02-08
"36",124.214,2021-02-09
"37",122.488,2021-02-10
"38",120.095,2021-02-11
"39",117.546,2021-02-12
"40",115.124,2021-02-13
"41",115.494666666667,2021-02-14
"42",116.471333333333,2021-02-15
"43",117.177666666667,2021-02-16
"44",117.653666666667,2021-02-17
"45",118.419,2021-02-18
"46",119.603666666667,2021-02-19
"47",120.555333333333,2021-02-20
"48",120.856666666667,2021-02-21
"49",121.282,2021-02-22
"50",122.295666666667,2021-02-23
"51",122.059333333333,2021-02-24
"52",122.294333333333,2021-02-25
"53",123.117,2021-02-26
"54",122.622,2021-02-27
"55",122.711333333333,2021-02-28
"56",123.398666666667,2021-03-01
"57",125.214,2021-03-02
"58",127.582333333333,2021-03-03
"59",130.117666666667,2021-03-04
"60",132.597,2021-03-05
"61",135.878,2021-03-06
"62",139.018333333333,2021-03-07
"63",142.118666666667,2021-03-08
"64",145.691,2021-03-09
"65",148.674333333333,2021-03-10
"66",151.512,2021-03-11
"67",155.24,2021-03-12
"68",158.73,2021-03-13
"69",162.406,2021-03-14
"70",165.744666666667,2021-03-15
"71",171.801333333333,2021-03-16
"72",179.454333333333,2021-03-17
"73",188.325666666667,2021-03-18
"74",198.162333333333,2021-03-19
"75",208.717,2021-03-20
