"","value","dates"
"1",332,2020-12-20
"2",156.105,2020-12-21
"3",167.694666666667,2020-12-22
"4",175.186666666667,2020-12-23
"5",179.209333333333,2020-12-24
"6",182.115333333333,2020-12-25
"7",183.682666666667,2020-12-26
"8",183.694666666667,2020-12-27
"9",184.447,2020-12-28
"10",184.001333333333,2020-12-29
"11",182.913,2020-12-30
"12",181.906333333333,2020-12-31
"13",180.405,2021-01-01
"14",179.966,2021-01-02
"15",178.915666666667,2021-01-03
"16",177.853666666667,2021-01-04
"17",176.359666666667,2021-01-05
"18",175.019666666667,2021-01-06
"19",174.418666666667,2021-01-07
"20",173.258666666667,2021-01-08
"21",172.625666666667,2021-01-09
"22",171.727666666667,2021-01-10
"23",170.738666666667,2021-01-11
"24",169.803666666667,2021-01-12
"25",168.949333333333,2021-01-13
"26",169.409,2021-01-14
"27",168.937666666667,2021-01-15
"28",168.281666666667,2021-01-16
"29",166.498333333333,2021-01-17
"30",164.486666666667,2021-01-18
"31",162.48,2021-01-19
"32",160.293,2021-01-20
"33",157.320333333333,2021-01-21
"34",154.796,2021-01-22
"35",152.461,2021-01-23
"36",149.434,2021-01-24
"37",146.632666666667,2021-01-25
"38",143.610333333333,2021-01-26
"39",141.044666666667,2021-01-27
"40",138.459333333333,2021-01-28
"41",139.119333333333,2021-01-29
"42",139.188333333333,2021-01-30
"43",138.867,2021-01-31
"44",138.095666666667,2021-02-01
"45",137.111,2021-02-02
"46",135.318,2021-02-03
"47",134.307,2021-02-04
"48",131.814333333333,2021-02-05
"49",129.722,2021-02-06
"50",127.259666666667,2021-02-07
"51",125.286666666667,2021-02-08
"52",123.304333333333,2021-02-09
"53",120.478666666667,2021-02-10
"54",118.036,2021-02-11
"55",115.584666666667,2021-02-12
"56",114.046333333333,2021-02-13
"57",113.501333333333,2021-02-14
"58",113.714,2021-02-15
"59",113.845333333333,2021-02-16
"60",114.188666666667,2021-02-17
"61",114.822,2021-02-18
"62",115.197,2021-02-19
"63",115.698666666667,2021-02-20
"64",116.505333333333,2021-02-21
"65",116.993333333333,2021-02-22
"66",117.909,2021-02-23
"67",118.163333333333,2021-02-24
"68",118.513333333333,2021-02-25
"69",119.133666666667,2021-02-26
"70",119.446333333333,2021-02-27
"71",119.937,2021-02-28
"72",121.266666666667,2021-03-01
"73",122.964,2021-03-02
"74",124.786666666667,2021-03-03
"75",127.167,2021-03-04
"76",129.435333333333,2021-03-05
"77",132.080666666667,2021-03-06
"78",135.121666666667,2021-03-07
"79",137.632,2021-03-08
"80",140.307333333333,2021-03-09
"81",143.762,2021-03-10
"82",146.738333333333,2021-03-11
"83",149.829333333333,2021-03-12
"84",152.559333333333,2021-03-13
"85",156.550666666667,2021-03-14
"86",160.622333333333,2021-03-15
"87",167.340666666667,2021-03-16
"88",174.388666666667,2021-03-17
"89",182.554666666667,2021-03-18
"90",191.677,2021-03-19
"91",201.614666666667,2021-03-20
"92",211.757666666667,2021-03-21
"93",222.600333333333,2021-03-22
"94",234.439666666667,2021-03-23
"95",246.31,2021-03-24
"96",259.718333333333,2021-03-25
"97",273.738333333333,2021-03-26
"98",288.143,2021-03-27
"99",303.101666666667,2021-03-28
"100",319.509,2021-03-29
"101",336.376333333333,2021-03-30
"102",354.264666666667,2021-03-31
"103",371.415333333333,2021-04-01
"104",390.385,2021-04-02
"105",408.295,2021-04-03
"106",427.367,2021-04-04
"107",446.309666666667,2021-04-05
"108",464.952,2021-04-06
"109",484.925333333333,2021-04-07
"110",504.414,2021-04-08
"111",524.676333333333,2021-04-09
"112",544.443333333333,2021-04-10
"113",564.650333333333,2021-04-11
"114",584.765666666667,2021-04-12
"115",604.183666666667,2021-04-13
"116",624.579,2021-04-14
"117",645.105,2021-04-15
"118",664.242333333333,2021-04-16
"119",684.858,2021-04-17
"120",703.486333333333,2021-04-18
"121",723.433333333333,2021-04-19
"122",743.991333333333,2021-04-20
"123",761.683,2021-04-21
"124",780.708666666667,2021-04-22
"125",798.802333333333,2021-04-23
"126",816.583333333333,2021-04-24
"127",834.348333333333,2021-04-25
"128",851.544,2021-04-26
"129",868.129333333333,2021-04-27
"130",884.772,2021-04-28
"131",899.765666666667,2021-04-29
"132",915.370333333333,2021-04-30
"133",929.709,2021-05-01
"134",944.693,2021-05-02
"135",958.807666666667,2021-05-03
"136",972.931333333333,2021-05-04
"137",984.591666666667,2021-05-05
"138",997.015,2021-05-06
"139",1007.83433333333,2021-05-07
"140",1018.668,2021-05-08
"141",1029.675,2021-05-09
"142",1039.16033333333,2021-05-10
"143",1049.08066666667,2021-05-11
"144",1057.811,2021-05-12
"145",1066.31966666667,2021-05-13
"146",1074.728,2021-05-14
"147",1081.77166666667,2021-05-15
"148",1089.25066666667,2021-05-16
"149",1096.238,2021-05-17
"150",1101.727,2021-05-18
"151",1107.04,2021-05-19
"152",1112.06433333333,2021-05-20
"153",1117.33766666667,2021-05-21
"154",1122.731,2021-05-22
"155",1126.87566666667,2021-05-23
"156",1131.75433333333,2021-05-24
"157",1134.669,2021-05-25
"158",1137.51466666667,2021-05-26
"159",1140.79666666667,2021-05-27
"160",1145.30666666667,2021-05-28
"161",1147.06766666667,2021-05-29
"162",1151.27666666667,2021-05-30
"163",1154.61833333333,2021-05-31
"164",1156.93733333333,2021-06-01
"165",1160.568,2021-06-02
"166",1163.32566666667,2021-06-03
"167",1165.47833333333,2021-06-04
"168",1168.72333333333,2021-06-05
"169",1170.72766666667,2021-06-06
"170",1173.19333333333,2021-06-07
"171",1176.50466666667,2021-06-08
"172",1177.70866666667,2021-06-09
"173",1181.63433333333,2021-06-10
"174",1185.246,2021-06-11
"175",1187.99266666667,2021-06-12
"176",1190.33833333333,2021-06-13
"177",1194.04933333333,2021-06-14
"178",1196.34566666667,2021-06-15
"179",1199.95433333333,2021-06-16
"180",1203.03266666667,2021-06-17
"181",1207.11033333333,2021-06-18
"182",1210.03533333333,2021-06-19
"183",1212.524,2021-06-20
"184",1215.828,2021-06-21
"185",1219.445,2021-06-22
"186",1221.43033333333,2021-06-23
"187",1225.114,2021-06-24
"188",1229.184,2021-06-25
"189",1231.35433333333,2021-06-26
"190",1234.80966666667,2021-06-27
"191",1239.18533333333,2021-06-28
"192",1240.89566666667,2021-06-29
"193",1244.11133333333,2021-06-30
"194",1247.37666666667,2021-07-01
"195",1250.38766666667,2021-07-02
"196",1252.79966666667,2021-07-03
"197",1254.95333333333,2021-07-04
"198",1258.162,2021-07-05
"199",1260.487,2021-07-06
"200",1261.97733333333,2021-07-07
"201",1264.58733333333,2021-07-08
"202",1266.68266666667,2021-07-09
"203",1269.933,2021-07-10
"204",1271.47333333333,2021-07-11
"205",1273.17066666667,2021-07-12
"206",1274.453,2021-07-13
"207",1274.361,2021-07-14
"208",1275.222,2021-07-15
"209",1278.113,2021-07-16
"210",1279.66633333333,2021-07-17
"211",1278.53833333333,2021-07-18
"212",1278.67533333333,2021-07-19
"213",1278.37733333333,2021-07-20
"214",1278.98933333333,2021-07-21
"215",1278.90866666667,2021-07-22
"216",1278.557,2021-07-23
"217",1278.24566666667,2021-07-24
"218",1277.49233333333,2021-07-25
"219",1275.55233333333,2021-07-26
"220",1273.89066666667,2021-07-27
"221",1272.65333333333,2021-07-28
"222",1270.46433333333,2021-07-29
"223",1267.15333333333,2021-07-30
"224",1264.702,2021-07-31
"225",1261.99333333333,2021-08-01
"226",1258.25933333333,2021-08-02
"227",1255.35733333333,2021-08-03
"228",1253.49833333333,2021-08-04
"229",1247.815,2021-08-05
"230",1244.41166666667,2021-08-06
"231",1239.32833333333,2021-08-07
"232",1235.59333333333,2021-08-08
"233",1229.39433333333,2021-08-09
"234",1224.90666666667,2021-08-10
"235",1218.23966666667,2021-08-11
"236",1213.14666666667,2021-08-12
"237",1206.01466666667,2021-08-13
"238",1199.23966666667,2021-08-14
"239",1193.03633333333,2021-08-15
"240",1186.92566666667,2021-08-16
"241",1179.14966666667,2021-08-17
"242",1170.58966666667,2021-08-18
"243",1164.82266666667,2021-08-19
"244",1157.008,2021-08-20
"245",1149.38933333333,2021-08-21
"246",1140.18366666667,2021-08-22
"247",1131.91566666667,2021-08-23
"248",1123.33,2021-08-24
"249",1113.431,2021-08-25
"250",1104.97,2021-08-26
