"","value","dates"
"1",48285,2020-11-11
"2",77037.1906666667,2020-11-12
"3",64884.0186666667,2020-11-13
"4",56376.473,2020-11-14
"5",50415.834,2020-11-15
"6",46278.9166666667,2020-11-16
"7",43419.405,2020-11-17
"8",41462.2806666667,2020-11-18
"9",40147.6293333333,2020-11-19
"10",39285.081,2020-11-20
"11",38737.3893333333,2020-11-21
"12",38411.3043333333,2020-11-22
"13",38240.9213333333,2020-11-23
"14",38180.5646666667,2020-11-24
"15",38205.355,2020-11-25
"16",38270.1283333333,2020-11-26
"17",38377.221,2020-11-27
"18",38507.3173333333,2020-11-28
"19",38647.321,2020-11-29
"20",38798.2076666667,2020-11-30
"21",38962.173,2020-12-01
"22",39126.685,2020-12-02
"23",39277.9456666667,2020-12-03
"24",39442.072,2020-12-04
"25",67945.0543333333,2020-12-05
"26",56154.533,2020-12-06
"27",46630.0453333333,2020-12-07
"28",38940.482,2020-12-08
"29",32685.956,2020-12-09
"30",27600.822,2020-12-10
"31",23432.6446666667,2020-12-11
"32",20014.4293333333,2020-12-12
"33",17199.5203333333,2020-12-13
"34",14867.269,2020-12-14
"35",12922.823,2020-12-15
"36",11306.8233333333,2020-12-16
"37",9931.905,2020-12-17
"38",8773.13066666667,2020-12-18
"39",7783.786,2020-12-19
"40",21370.5083333333,2020-12-20
"41",22141.6076666667,2020-12-21
"42",22418.4493333333,2020-12-22
"43",22328.6463333333,2020-12-23
"44",21979.791,2020-12-24
"45",21448.7986666667,2020-12-25
"46",20788.4523333333,2020-12-26
"47",20037.6763333333,2020-12-27
"48",19238.5243333333,2020-12-28
"49",18407.612,2020-12-29
"50",17569.8796666667,2020-12-30
"51",16736.7043333333,2020-12-31
"52",15916.8906666667,2021-01-01
"53",15114.5726666667,2021-01-02
"54",14345.7436666667,2021-01-03
"55",16040.9096666667,2021-01-04
"56",16548.2746666667,2021-01-05
"57",16742.7166666667,2021-01-06
"58",16741.2796666667,2021-01-07
"59",16563.6703333333,2021-01-08
"60",16285.7136666667,2021-01-09
"61",15921.2716666667,2021-01-10
"62",15503.177,2021-01-11
"63",15054.553,2021-01-12
"64",14580.977,2021-01-13
"65",14104.1436666667,2021-01-14
"66",13617.5126666667,2021-01-15
"67",13137.5506666667,2021-01-16
"68",12663.5003333333,2021-01-17
"69",12198.1853333333,2021-01-18
"70",13299.4703333333,2021-01-19
"71",13509.0903333333,2021-01-20
"72",13572.9876666667,2021-01-21
"73",13523.7256666667,2021-01-22
"74",13401.0686666667,2021-01-23
"75",13225.4466666667,2021-01-24
"76",13006.007,2021-01-25
"77",12760.1306666667,2021-01-26
"78",12496.7636666667,2021-01-27
"79",12223.8056666667,2021-01-28
"80",11947.271,2021-01-29
"81",11663.788,2021-01-30
"82",11382.6956666667,2021-01-31
"83",11104.2066666667,2021-02-01
"84",10833.7076666667,2021-02-02
"85",10661.02,2021-02-03
"86",11054.0733333333,2021-02-04
"87",11301.1236666667,2021-02-05
"88",11452.5956666667,2021-02-06
"89",11534.4913333333,2021-02-07
"90",11554.505,2021-02-08
"91",11541.5746666667,2021-02-09
"92",11504.069,2021-02-10
"93",11443.5556666667,2021-02-11
"94",11367.742,2021-02-12
"95",11286.0126666667,2021-02-13
"96",11189.2063333333,2021-02-14
"97",11095.1203333333,2021-02-15
"98",11001.5153333333,2021-02-16
"99",10898.7676666667,2021-02-17
"100",10795.3983333333,2021-02-18
"101",10692.1296666667,2021-02-19
"102",10586.495,2021-02-20
"103",10482.65,2021-02-21
"104",10383.1496666667,2021-02-22
"105",10282.0363333333,2021-02-23
"106",10179.4306666667,2021-02-24
