"","value","dates"
"1",229508,2021-01-05
"2",247137.342333333,2021-01-06
"3",258872.074,2021-01-07
"4",266464.752333333,2021-01-08
"5",271155.071666667,2021-01-09
"6",273821.647,2021-01-10
"7",275096.292666667,2021-01-11
"8",275413.865,2021-01-12
"9",275096.744333333,2021-01-13
"10",274357.913333333,2021-01-14
"11",273362.192333333,2021-01-15
"12",272207.828333333,2021-01-16
"13",270972.579333333,2021-01-17
"14",269705.746666667,2021-01-18
"15",268449.440666667,2021-01-19
"16",267218.791666667,2021-01-20
"17",266036.183,2021-01-21
"18",264906.666,2021-01-22
"19",263833.699333333,2021-01-23
"20",262816.572666667,2021-01-24
"21",261867.971333333,2021-01-25
"22",260974.058333333,2021-01-26
"23",260134.264,2021-01-27
"24",259353.361666667,2021-01-28
"25",261510.623666667,2021-01-29
"26",262082.245,2021-01-30
"27",261434.795333333,2021-01-31
"28",259859.275666667,2021-02-01
"29",257562.888333333,2021-02-02
"30",254710.493666667,2021-02-03
"31",251435.542666667,2021-02-04
"32",247830.670666667,2021-02-05
"33",243974.750666667,2021-02-06
"34",239926.042,2021-02-07
"35",235732.967,2021-02-08
"36",231427.230333333,2021-02-09
"37",227042.896666667,2021-02-10
"38",222600.449,2021-02-11
"39",218128.788666667,2021-02-12
"40",218818.194,2021-02-13
"41",220000.971666667,2021-02-14
"42",221450.330333333,2021-02-15
"43",223019.531666667,2021-02-16
"44",224581.065333333,2021-02-17
"45",226072.533,2021-02-18
"46",227437.911,2021-02-19
"47",228649.02,2021-02-20
"48",229689.812333333,2021-02-21
"49",230551.543,2021-02-22
"50",231229.913666667,2021-02-23
"51",231725.549,2021-02-24
"52",232038.660333333,2021-02-25
"53",232173.330333333,2021-02-26
"54",232144.083666667,2021-02-27
"55",233916.551666667,2021-02-28
"56",237093.693333333,2021-03-01
"57",241245.378,2021-03-02
"58",246075.759,2021-03-03
"59",251385.310333333,2021-03-04
"60",257036.889,2021-03-05
"61",262926.449,2021-03-06
"62",268992.087666667,2021-03-07
"63",275180.377333333,2021-03-08
"64",281473.236666667,2021-03-09
"65",287839.417666667,2021-03-10
"66",294275.844,2021-03-11
"67",300772.401666667,2021-03-12
"68",307325.778333333,2021-03-13
"69",313934.127666667,2021-03-14
"70",325118.491,2021-03-15
"71",339529.757333333,2021-03-16
"72",356397.011666667,2021-03-17
"73",375237.232666667,2021-03-18
"74",395743.438,2021-03-19
"75",417725.22,2021-03-20
"76",441081.816333333,2021-03-21
"77",465780.452333333,2021-03-22
"78",491797.304666667,2021-03-23
"79",519149.087333333,2021-03-24
"80",547864.574,2021-03-25
"81",577979.429666667,2021-03-26
"82",609557.700666667,2021-03-27
"83",642656.726666667,2021-03-28
"84",677350.495333333,2021-03-29
"85",706383.603,2021-03-30
"86",741398.233666667,2021-03-31
"87",781593.822333333,2021-04-01
"88",826522.545333333,2021-04-02
"89",875982.539333333,2021-04-03
"90",929904.878333333,2021-04-04
"91",988352.935,2021-04-05
"92",1051416.777,2021-04-06
"93",1119284.20866667,2021-04-07
"94",1192145.143,2021-04-08
"95",1270173.37833333,2021-04-09
"96",1353640.11666667,2021-04-10
"97",1442737.698,2021-04-11
"98",1537740.04866667,2021-04-12
"99",1638872.62166667,2021-04-13
"100",1746393.059,2021-04-14
"101",1860513.294,2021-04-15
"102",1977325.11,2021-04-16
"103",2097095.972,2021-04-17
"104",2219890.38233333,2021-04-18
"105",2345616.256,2021-04-19
"106",2474095.15233333,2021-04-20
"107",2605064.00133333,2021-04-21
"108",2738198.644,2021-04-22
"109",2873140.036,2021-04-23
"110",3009488.83533333,2021-04-24
"111",3146770.17566667,2021-04-25
"112",3284536.568,2021-04-26
"113",3422323.90266667,2021-04-27
"114",3559629.506,2021-04-28
"115",3695993.48566667,2021-04-29
"116",3830872.31766667,2021-04-30
"117",3963784.86466667,2021-05-01
"118",4094264.165,2021-05-02
"119",4221802.75233333,2021-05-03
"120",4345955.808,2021-05-04
"121",4466293.31266667,2021-05-05
"122",4582322.08333333,2021-05-06
"123",4693714.58733333,2021-05-07
"124",4800034.93466667,2021-05-08
"125",4900953.31066667,2021-05-09
"126",4996151.588,2021-05-10
"127",5085344.05366667,2021-05-11
"128",5168303.583,2021-05-12
"129",5244770.49066667,2021-05-13
"130",5314572.479,2021-05-14
"131",5377569.95133333,2021-05-15
"132",5433687.95033333,2021-05-16
"133",5482820.21833333,2021-05-17
"134",5524957.498,2021-05-18
"135",5560119.83333333,2021-05-19
"136",5588376.086,2021-05-20
"137",5609788.59966667,2021-05-21
"138",5624539.11566667,2021-05-22
"139",5632768.08466667,2021-05-23
"140",5634623.187,2021-05-24
"141",5630301.04166667,2021-05-25
"142",5620012.01866667,2021-05-26
"143",5603940.831,2021-05-27
"144",5582350.651,2021-05-28
"145",5555436.848,2021-05-29
"146",5523483.79566667,2021-05-30
"147",5486704.78866667,2021-05-31
"148",5445362.822,2021-06-01
"149",5399712.37333333,2021-06-02
"150",5350064.98266667,2021-06-03
"151",5296754.73533333,2021-06-04
"152",5240058.655,2021-06-05
"153",5180336.43733333,2021-06-06
"154",5117902.70233333,2021-06-07
"155",5053061.35733333,2021-06-08
"156",4986083.41233333,2021-06-09
"157",4917237.18566667,2021-06-10
"158",4846749.17766667,2021-06-11
"159",4774857.64833333,2021-06-12
"160",4701736.739,2021-06-13
"161",4627570.03166667,2021-06-14
"162",4552520.54766667,2021-06-15
"163",4476696.87033333,2021-06-16
"164",4400251.67166667,2021-06-17
"165",4323336.309,2021-06-18
"166",4246137.90666667,2021-06-19
"167",4168788.12866667,2021-06-20
"168",4091443.48766667,2021-06-21
"169",4014266.63466667,2021-06-22
"170",3937355.43066667,2021-06-23
"171",3860834.261,2021-06-24
"172",3784806.67766667,2021-06-25
"173",3709359.88666667,2021-06-26
"174",3634545.62766667,2021-06-27
"175",3560387.21133333,2021-06-28
"176",3486961.92866667,2021-06-29
"177",3414285.00633333,2021-06-30
"178",3342378.64366667,2021-07-01
"179",3271237.36933333,2021-07-02
"180",3200869.892,2021-07-03
"181",3131292.358,2021-07-04
"182",3062546.75066667,2021-07-05
"183",2994639.494,2021-07-06
"184",2927587.07633333,2021-07-07
"185",2861445.71533333,2021-07-08
"186",2796238.728,2021-07-09
"187",2731972.76933333,2021-07-10
"188",2668675.04533333,2021-07-11
"189",2606371.254,2021-07-12
"190",2545043.592,2021-07-13
"191",2484718.21666667,2021-07-14
"192",2425422.10733333,2021-07-15
"193",2367129.30166667,2021-07-16
"194",2309840.032,2021-07-17
"195",2253558.24166667,2021-07-18
"196",2198288.10033333,2021-07-19
"197",2144033.803,2021-07-20
"198",2090795.66033333,2021-07-21
"199",2038550.92366667,2021-07-22
"200",1987309.18366667,2021-07-23
"201",1937079.52,2021-07-24
"202",1887843.196,2021-07-25
"203",1839606.49566667,2021-07-26
"204",1792354.40866667,2021-07-27
"205",1746072.44066667,2021-07-28
"206",1700765.60866667,2021-07-29
"207",1656446.26966667,2021-07-30
"208",1613070.442,2021-07-31
"209",1570628.51633333,2021-08-01
"210",1529115.798,2021-08-02
"211",1488527.101,2021-08-03
"212",1448832.175,2021-08-04
"213",1410038.07566667,2021-08-05
"214",1372101.97366667,2021-08-06
"215",1335029.462,2021-08-07
"216",1298801.679,2021-08-08
"217",1263427.52333333,2021-08-09
"218",1228865.607,2021-08-10
"219",1195097.107,2021-08-11
"220",1162130.09233333,2021-08-12
"221",1129932.003,2021-08-13
"222",1098505.44633333,2021-08-14
"223",1067835.48266667,2021-08-15
"224",1037903.39666667,2021-08-16
"225",1008697.51566667,2021-08-17
"226",980209.239666667,2021-08-18
"227",952423.199333333,2021-08-19
"228",925319.727333333,2021-08-20
"229",898896.958,2021-08-21
"230",873134.337333333,2021-08-22
"231",848026.269333333,2021-08-23
"232",823559.687666667,2021-08-24
"233",799728.401333333,2021-08-25
"234",776501.736666667,2021-08-26
"235",753886.47,2021-08-27
"236",731856.763666667,2021-08-28
"237",710409.963333333,2021-08-29
"238",689527.843666667,2021-08-30
"239",669199.038666667,2021-08-31
"240",649421.421333333,2021-09-01
"241",630168.671333333,2021-09-02
"242",611445.276666667,2021-09-03
"243",593226.996,2021-09-04
"244",575504.279,2021-09-05
"245",558261.701333333,2021-09-06
"246",541504.383,2021-09-07
"247",525211.985333333,2021-09-08
"248",509371.979666667,2021-09-09
"249",493979.197666667,2021-09-10
"250",479018.319333333,2021-09-11
