"","value","dates"
"214",41342.3263333333,2021-08-06
"215",40072.7303333333,2021-08-07
"216",38832.0936666667,2021-08-08
"217",37641.4306666667,2021-08-09
"218",36459.442,2021-08-10
"219",35318.651,2021-08-11
"220",34217.309,2021-08-12
"221",33137.6406666667,2021-08-13
"222",32094.7966666667,2021-08-14
"223",31083.7406666667,2021-08-15
"224",30099.7876666667,2021-08-16
"225",29144.1713333333,2021-08-17
"226",28217.259,2021-08-18
"227",27314.2313333333,2021-08-19
"228",26441.821,2021-08-20
"229",25598.2043333333,2021-08-21
"230",24772.149,2021-08-22
"231",23978.6306666667,2021-08-23
"232",23207.6143333333,2021-08-24
"233",22464.8656666667,2021-08-25
"234",21734.2803333333,2021-08-26
"235",21035.1143333333,2021-08-27
"236",20355.237,2021-08-28
"237",19690.2023333333,2021-08-29
"238",19055.36,2021-08-30
"239",18439.3403333333,2021-08-31
"240",17841.4303333333,2021-09-01
"241",17256.5616666667,2021-09-02
"242",16701.4293333333,2021-09-03
"243",16156.1616666667,2021-09-04
"244",15623.5643333333,2021-09-05
"245",15115.929,2021-09-06
"246",14626.8953333333,2021-09-07
"247",14149.9973333333,2021-09-08
"248",13688.0116666667,2021-09-09
"249",13239.753,2021-09-10
"250",12810.9303333333,2021-09-11
