"","value","dates"
"1",31637,2020-12-09
"2",51047.9516666667,2020-12-10
"3",42711.2113333333,2020-12-11
"4",36699.772,2020-12-12
"5",32350.3243333333,2020-12-13
"6",29207.2713333333,2020-12-14
"7",26922.214,2020-12-15
"8",25252.3516666667,2020-12-16
"9",24034.7323333333,2020-12-17
"10",23121.897,2020-12-18
"11",22445.514,2020-12-19
"12",21934.8306666667,2020-12-20
"13",21538.0846666667,2020-12-21
"14",21218.544,2020-12-22
"15",20967.863,2020-12-23
"16",20758.359,2020-12-24
"17",20587.106,2020-12-25
"18",20422.2313333333,2020-12-26
"19",20276.046,2020-12-27
"20",20148.1853333333,2020-12-28
"21",20017.6356666667,2020-12-29
"22",19903.2583333333,2020-12-30
"23",19790.0073333333,2020-12-31
"24",19677.5056666667,2021-01-01
"25",27287.7063333333,2021-01-02
"26",24283.9846666667,2021-01-03
"27",21848.7743333333,2021-01-04
"28",19853.289,2021-01-05
"29",18192.7613333333,2021-01-06
"30",16796.287,2021-01-07
"31",15602.114,2021-01-08
"32",14568.9676666667,2021-01-09
"33",13665.1646666667,2021-01-10
"34",12867.8006666667,2021-01-11
"35",12151.6826666667,2021-01-12
"36",11501.9043333333,2021-01-13
"37",10914.917,2021-01-14
"38",10365.7473333333,2021-01-15
"39",9859.445,2021-01-16
"40",17591.0096666667,2021-01-17
"41",16791.8526666667,2021-01-18
"42",16038.8916666667,2021-01-19
"43",15321.565,2021-01-20
"44",14642.848,2021-01-21
"45",13994.5976666667,2021-01-22
"46",13384.3736666667,2021-01-23
"47",12796.8143333333,2021-01-24
"48",12235.5133333333,2021-01-25
"49",11698.8933333333,2021-01-26
"50",11193.2956666667,2021-01-27
"51",10705.0613333333,2021-01-28
"52",10242.8573333333,2021-01-29
"53",9799.50533333333,2021-01-30
"54",9375.348,2021-01-31
"55",10738.7473333333,2021-02-01
"56",11188.8866666667,2021-02-02
"57",11435.7126666667,2021-02-03
"58",11549.3446666667,2021-02-04
"59",11560.494,2021-02-05
"60",11492.7066666667,2021-02-06
"61",11370.8823333333,2021-02-07
"62",11212.188,2021-02-08
"63",11028.3463333333,2021-02-09
"64",10827.2553333333,2021-02-10
"65",10620.877,2021-02-11
"66",10396.6383333333,2021-02-12
"67",10176.3406666667,2021-02-13
"68",9955.38566666667,2021-02-14
"69",9732.762,2021-02-15
"70",10843.458,2021-02-16
"71",12018.2843333333,2021-02-17
"72",12891.765,2021-02-18
"73",13546.707,2021-02-19
"74",14051.6743333333,2021-02-20
"75",14443.092,2021-02-21
"76",14764.2696666667,2021-02-22
"77",15027.4963333333,2021-02-23
"78",15255.548,2021-02-24
"79",15460.036,2021-02-25
"80",15643.51,2021-02-26
"81",15814.454,2021-02-27
"82",15979.189,2021-02-28
"83",16134.1803333333,2021-03-01
"84",16291.9883333333,2021-03-02
"85",14593.0166666667,2021-03-03
"86",16383.5343333333,2021-03-04
"87",17863.977,2021-03-05
"88",19150.1496666667,2021-03-06
"89",20318.629,2021-03-07
"90",21414.3563333333,2021-03-08
"91",22476.603,2021-03-09
"92",23531.3586666667,2021-03-10
"93",24588.83,2021-03-11
"94",25675.619,2021-03-12
"95",26774.402,2021-03-13
"96",27913.67,2021-03-14
"97",29091.806,2021-03-15
"98",30301.6866666667,2021-03-16
"99",31569.987,2021-03-17
"100",32881.8573333333,2021-03-18
"101",34237.253,2021-03-19
"102",35031.324,2021-03-20
"103",35867.261,2021-03-21
"104",36715.9913333333,2021-03-22
"105",37563.262,2021-03-23
"106",38417.64,2021-03-24
"107",39240.7103333333,2021-03-25
"108",40053.201,2021-03-26
"109",40842.2056666667,2021-03-27
"110",41600.4846666667,2021-03-28
"111",42332.591,2021-03-29
"112",43030.98,2021-03-30
"113",43697.4296666667,2021-03-31
"114",44339.0553333333,2021-04-01
"115",44936.439,2021-04-02
"116",45512.0166666667,2021-04-03
"117",46047.5466666667,2021-04-04
"118",46546.8703333333,2021-04-05
"119",47013.1473333333,2021-04-06
"120",47443.7373333333,2021-04-07
"121",47853.4446666667,2021-04-08
"122",48221.39,2021-04-09
"123",48553.4886666667,2021-04-10
"124",48864.5296666667,2021-04-11
"125",49129.6856666667,2021-04-12
"126",49378.6423333333,2021-04-13
"127",49592.3966666667,2021-04-14
"128",49765.785,2021-04-15
"129",49917.4296666667,2021-04-16
"130",50055.883,2021-04-17
"131",50153.0586666667,2021-04-18
"132",50229.3013333333,2021-04-19
"133",50277.6266666667,2021-04-20
"134",50309.191,2021-04-21
"135",50322.153,2021-04-22
"136",50322.096,2021-04-23
"137",50303.1186666667,2021-04-24
"138",50269.2003333333,2021-04-25
"139",50229.4173333333,2021-04-26
"140",50185.027,2021-04-27
"141",50130.364,2021-04-28
"142",50061.979,2021-04-29
"143",49977.3586666667,2021-04-30
"144",49909.292,2021-05-01
"145",49814.9296666667,2021-05-02
"146",49729.8966666667,2021-05-03
"147",49645.751,2021-05-04
"148",49535.888,2021-05-05
"149",49439.652,2021-05-06
"150",49339.1046666667,2021-05-07
"151",49261.3793333333,2021-05-08
"152",49199.2276666667,2021-05-09
"153",49160.929,2021-05-10
"154",49128.107,2021-05-11
"155",49130.4526666667,2021-05-12
"156",49153.7513333333,2021-05-13
"157",49202.903,2021-05-14
"158",49269.4753333333,2021-05-15
"159",49344.531,2021-05-16
"160",49435.1833333333,2021-05-17
"161",49543.0566666667,2021-05-18
"162",49648.2023333333,2021-05-19
"163",49772.9676666667,2021-05-20
"164",49893.546,2021-05-21
"165",50036.147,2021-05-22
"166",50201.2383333333,2021-05-23
"167",50404.29,2021-05-24
"168",50619.2456666667,2021-05-25
"169",50870.0276666667,2021-05-26
"170",51140.7686666667,2021-05-27
"171",51451.0746666667,2021-05-28
"172",51770.2136666667,2021-05-29
"173",52122.743,2021-05-30
"174",52494.1116666667,2021-05-31
"175",52885.666,2021-06-01
"176",53274.61,2021-06-02
"177",53677.3046666667,2021-06-03
"178",54083.515,2021-06-04
"179",54493.2983333333,2021-06-05
"180",54883.0236666667,2021-06-06
"181",55289.4546666667,2021-06-07
"182",55692.0263333333,2021-06-08
"183",56112.7963333333,2021-06-09
"184",56543.309,2021-06-10
"185",56984.849,2021-06-11
"186",57434.696,2021-06-12
"187",57907.3136666667,2021-06-13
"188",58379.4046666667,2021-06-14
"189",58870.2966666667,2021-06-15
"190",59363.119,2021-06-16
"191",59865.755,2021-06-17
"192",60381.2366666667,2021-06-18
"193",60901.6016666667,2021-06-19
"194",61427.7066666667,2021-06-20
"195",61939.8846666667,2021-06-21
"196",62480.2466666667,2021-06-22
"197",63012.6706666667,2021-06-23
"198",63559.0246666667,2021-06-24
"199",64111.4826666667,2021-06-25
"200",64663.9686666667,2021-06-26
"201",65232.8806666667,2021-06-27
"202",65800.8273333333,2021-06-28
"203",66372.2483333333,2021-06-29
"204",66955.7173333333,2021-06-30
"205",67548.7803333333,2021-07-01
"206",68131.814,2021-07-02
"207",68720.8413333333,2021-07-03
"208",69324.317,2021-07-04
"209",69923.424,2021-07-05
"210",70520.1486666667,2021-07-06
"211",71108.024,2021-07-07
"212",71702.8933333333,2021-07-08
"213",72292.5413333333,2021-07-09
"214",72879.659,2021-07-10
"215",73453.2446666667,2021-07-11
"216",74032.8266666667,2021-07-12
"217",74592.8563333333,2021-07-13
"218",75145.655,2021-07-14
"219",75702.877,2021-07-15
"220",76248.4363333333,2021-07-16
"221",76773.0796666667,2021-07-17
"222",77306.9403333333,2021-07-18
"223",77834.5783333333,2021-07-19
"224",78329.8396666667,2021-07-20
"225",78851.767,2021-07-21
"226",79335.8273333333,2021-07-22
"227",79819.6423333333,2021-07-23
"228",80290.0403333333,2021-07-24
"229",80763.9216666667,2021-07-25
"230",81232.5376666667,2021-07-26
"231",81674.0833333333,2021-07-27
"232",82127.72,2021-07-28
"233",82549.3066666667,2021-07-29
"234",82975.016,2021-07-30
"235",83381.6126666667,2021-07-31
"236",83784.3173333333,2021-08-01
"237",84179.0236666667,2021-08-02
"238",84564.5333333333,2021-08-03
"239",84933.4316666667,2021-08-04
"240",85299.806,2021-08-05
"241",85649.5746666667,2021-08-06
"242",85978.8576666667,2021-08-07
"243",86319.6183333333,2021-08-08
"244",86631.1416666667,2021-08-09
"245",86939.8166666667,2021-08-10
"246",87233.0713333333,2021-08-11
"247",87507.81,2021-08-12
"248",87778.866,2021-08-13
"249",88043.5006666667,2021-08-14
"250",88284.59,2021-08-15
