"","P_daily_4","P_daily_6","P_daily_8","dates"
"1",17909,17909,17909,2021-01-05
"2",30326.0603333333,30101.218,30368.9616666667,2021-01-06
"3",25461.705,25288.909,25500.0893333333,2021-01-07
"4",22017.855,21875.1106666667,22032.782,2021-01-08
"5",19570.2236666667,19472.1793333333,19584.644,2021-01-09
"6",17836.6753333333,17763.5253333333,17845.6963333333,2021-01-10
"7",16613.8593333333,16564.2796666667,16610.103,2021-01-11
"8",15749.5633333333,15718.9476666667,15744.516,2021-01-12
"9",15148.2763333333,15138.8843333333,15136.2626666667,2021-01-13
"10",14722.7733333333,14728.4173333333,14703.7256666667,2021-01-14
"11",14429.9403333333,14453.8383333333,14408.349,2021-01-15
"12",14227.0536666667,14265.021,14203.3473333333,2021-01-16
"13",14097.146,14146.742,14066.3193333333,2021-01-17
"14",14010.0346666667,14072.764,13974.9003333333,2021-01-18
"15",13951.7336666667,14029.2233333333,13919.444,2021-01-19
"16",13919.6943333333,14003.9156666667,13881.2393333333,2021-01-20
"17",13902.8883333333,13999.1466666667,13857.1886666667,2021-01-21
"18",13899.1376666667,14010.6833333333,13849.927,2021-01-22
"19",13904.724,14022.4976666667,13852.4386666667,2021-01-23
"20",13914.0716666667,14045.4353333333,13858.4493333333,2021-01-24
"21",13924.976,14064.188,13866.0553333333,2021-01-25
"22",13940.545,14090.3743333333,13883.7253333333,2021-01-26
"23",13958.7773333333,14117.4923333333,13891.3653333333,2021-01-27
"24",13972.779,14147.0403333333,13906.7296666667,2021-01-28
"25",15529.902,14050.7336666667,16634.2173333333,2021-01-29
"26",14384.8773333333,13312.0763333333,15193.3686666667,2021-01-30
"27",13466.6453333333,12711.9603333333,14033.4733333333,2021-01-31
"28",12713.7876666667,12225.8173333333,13079.12,2021-02-01
"29",12084.7236666667,11815.701,12286.3196666667,2021-02-02
"30",11552.2106666667,11469.5656666667,11617.8996666667,2021-02-03
"31",11091.2683333333,11162.2343333333,11037.72,2021-02-04
"32",10682.924,10895.027,10539.0353333333,2021-02-05
"33",10316.83,10651.3036666667,10087.6736666667,2021-02-06
"34",9985.819,10422.1943333333,9688.28533333333,2021-02-07
"35",9682.23066666667,10213.0743333333,9318.93633333333,2021-02-08
"36",9393.08366666667,10011.2913333333,8980.692,2021-02-09
"37",9124.66733333333,9821.64833333333,8663.553,2021-02-10
"38",8872.615,9636.07433333333,8367.17733333333,2021-02-11
"39",8630.492,9462.37933333333,8087.638,2021-02-12
"40",12328.7986666667,11343.0576666667,14247.9823333333,2021-02-13
"41",12935.7396666667,12092.2583333333,14434.0856666667,2021-02-14
"42",13349.9556666667,12647.3723333333,14493.1423333333,2021-02-15
"43",13625.2546666667,13064.03,14464.022,2021-02-16
"44",13801.6006666667,13375.9563333333,14366.2846666667,2021-02-17
"45",13905.9573333333,13625.2776666667,14225.8606666667,2021-02-18
"46",13950.419,13819.111,14052.1243333333,2021-02-19
"47",13967.413,13978.9473333333,13852.1896666667,2021-02-20
"48",13956.2673333333,14110.459,13644.032,2021-02-21
"49",13922.6876666667,14229.406,13418.164,2021-02-22
"50",13872.9926666667,14334.687,13190.4306666667,2021-02-23
"51",13820.3436666667,14433.1873333333,12957.893,2021-02-24
"52",13759.4196666667,14517.5223333333,12727.4743333333,2021-02-25
"53",13686.8796666667,14604.8056666667,12494.693,2021-02-26
"54",13614.65,14682.168,12266.227,2021-02-27
"55",15523.7016666667,14358.0286666667,14123.4963333333,2021-02-28
"56",16743.9463333333,15637.0953333333,15897.9823333333,2021-03-01
"57",17699.4116666667,16687.115,17241.294,2021-03-02
"58",18483.8793333333,17581.1133333333,18291.5113333333,2021-03-03
"59",19132.6866666667,18379.2683333333,19130.599,2021-03-04
"60",19699.4086666667,19108.7716666667,19837.3273333333,2021-03-05
"61",20208.9226666667,19801.7756666667,20444.371,2021-03-06
"62",20683.8066666667,20471.4896666667,20978.018,2021-03-07
"63",21128.3876666667,21131.8923333333,21468.891,2021-03-08
"64",21557.879,21796.933,21936.063,2021-03-09
"65",21976.8233333333,22459.0773333333,22374.5173333333,2021-03-10
"66",22397.7503333333,23126.0626666667,22814.6773333333,2021-03-11
"67",22810.2336666667,23810.4073333333,23248.8206666667,2021-03-12
"68",23224.5153333333,24503.5226666667,23671.152,2021-03-13
"69",23638.885,25211.0956666667,24094.4763333333,2021-03-14
"70",28800.606,29645.5756666667,28928.7596666667,2021-03-15
"71",32667.494,33023.7556666667,32770.24,2021-03-16
"72",35957.3206666667,35989.3696666667,36017.1156666667,2021-03-17
"73",38871.2896666667,38728.182,38929.3113333333,2021-03-18
"74",41606.9973333333,41357.822,41643.0706666667,2021-03-19
"75",44243.7686666667,43943.6013333333,44258.8746666667,2021-03-20
"76",46858.102,46554.665,46851.1403333333,2021-03-21
"77",49505.165,49212.4373333333,49481.1846666667,2021-03-22
"78",52224.2556666667,51978.4336666667,52174.6576666667,2021-03-23
"79",55006.1433333333,54814.8796666667,54962.0126666667,2021-03-24
"80",57911.8326666667,57773.933,57847.7236666667,2021-03-25
"81",60931.2913333333,60856.3333333333,60858.8993333333,2021-03-26
"82",64083.6106666667,64059.474,63996.0476666667,2021-03-27
"83",67367.9813333333,67392.3806666667,67272.8003333333,2021-03-28
"84",70779.873,70850.247,70695.9273333333,2021-03-29
"85",66678.2503333333,65483.6853333333,67124.303,2021-03-30
"86",74464.982,73772.889,74701.8586666667,2021-03-31
"87",81737.989,81419.4256666667,81815.793,2021-04-01
"88",88831.7613333333,88819.9053333333,88809.5043333333,2021-04-02
"89",95959.349,96202.9383333333,95842.835,2021-04-03
"90",103282.702666667,103746.545666667,103076.671333333,2021-04-04
"91",110870.176333333,111505.127,110610.262,2021-04-05
"92",118830.301666667,119582.738666667,118525.917333333,2021-04-06
"93",127195.141666667,127999.399,126842.548333333,2021-04-07
"94",135976.040666667,136786.134,135637.837666667,2021-04-08
"95",145248.456333333,145924.074666667,144953.455,2021-04-09
"96",154977.112,155432.122666667,154783.858,2021-04-10
"97",165246.123666667,165282.166333333,165149.837,2021-04-11
"98",175984.708333333,175486.587333333,176101.050333333,2021-04-12
"99",187259.278666667,185950.992,187644.373333333,2021-04-13
"100",199051.470666667,196666.834666667,199800.088333333,2021-04-14
"101",211339.663666667,207618.384666667,212572.584333333,2021-04-15
"102",220274.925333333,214809.992666667,221821.111666667,2021-04-16
"103",229425.476,222005.483,231487.002,2021-04-17
"104",238635.412333333,229013.310666667,241411.968,2021-04-18
"105",247799.738,235696.026,251495.130333333,2021-04-19
"106",256771.055333333,241879.769666667,261553.522333333,2021-04-20
"107",265514.168666667,247519.684,271569.802333333,2021-04-21
