"","P_daily_4","P_daily_6","P_daily_8","dates"
"1",17909,17909,17909,2021-01-05
"2",30271.8216666667,30270.463,30272.604,2021-01-06
"3",25419.6193333333,25427.0886666667,25424.5423333333,2021-01-07
"4",21984.6703333333,21980.507,21983.7306666667,2021-01-08
"5",19545.7136666667,19543.5756666667,19547.045,2021-01-09
"6",17824.8296666667,17821.4323333333,17825.563,2021-01-10
"7",16604.9746666667,16604.3986666667,16602.9226666667,2021-01-11
"8",15750.4226666667,15750.1223333333,15755.269,2021-01-12
"9",15152.046,15149.6506666667,15146.4796666667,2021-01-13
"10",14731.4523333333,14729.3046666667,14727.5993333333,2021-01-14
"11",14442.1993333333,14439.6496666667,14444.015,2021-01-15
"12",14241.5836666667,14246.082,14245.6856666667,2021-01-16
"13",14119.701,14116.292,14113.4576666667,2021-01-17
"14",14033.8093333333,14032.971,14033.6516666667,2021-01-18
"15",13981.2126666667,13979.4693333333,13979.273,2021-01-19
"16",13949.6703333333,13953.978,13950.097,2021-01-20
"17",13938.93,13939.1083333333,13941.714,2021-01-21
"18",13940.1293333333,13936.7286666667,13939.545,2021-01-22
"19",13944.4336666667,13947.2816666667,13945.4356666667,2021-01-23
"20",13954.777,13953.968,13952.3733333333,2021-01-24
"21",13969.79,13973.7413333333,13968.8483333333,2021-01-25
"22",13991.1503333333,13987.602,13990.2886666667,2021-01-26
"23",14009.9013333333,14008.3293333333,14007.423,2021-01-27
"24",14026.3296666667,14027.8793333333,14029.305,2021-01-28
"25",14588.506,14589.8366666667,14588.206,2021-01-29
"26",13697.668,13701.38,13698.4883333333,2021-01-30
"27",12982.5503333333,12980.0326666667,12980.334,2021-01-31
"28",12394.6246666667,12395.9803333333,12392.6873333333,2021-02-01
"29",11904.7016666667,11902.1573333333,11904.9276666667,2021-02-02
"30",11482.1463333333,11483.131,11483.77,2021-02-03
"31",11121.7966666667,11119.5436666667,11120.9463333333,2021-02-04
"32",10796.0986666667,10797.7206666667,10797.6713333333,2021-02-05
"33",10505.632,10506.8213333333,10503.8063333333,2021-02-06
"34",10236.3016666667,10236.1803333333,10235.175,2021-02-07
"35",9988.24833333333,9983.60466666667,9986.88666666667,2021-02-08
"36",9754.03433333333,9754.12866666667,9752.12533333333,2021-02-09
"37",9531.651,9532.313,9533.73466666667,2021-02-10
"38",9312.82466666667,9314.19833333333,9315.247,2021-02-11
"39",9112.02666666667,9112.62433333333,9113.77166666667,2021-02-12
"40",14065.2196666667,14064.34,14060.2483333333,2021-02-13
"41",14165.457,14163.938,14166.6796666667,2021-02-14
"42",14185.7813333333,14185.4463333333,14185.9196666667,2021-02-15
"43",14153.3443333333,14156.8563333333,14157.7843333333,2021-02-16
"44",14086.999,14082.821,14083.0276666667,2021-02-17
"45",13976.0773333333,13982.0236666667,13982.0893333333,2021-02-18
"46",13861.7896666667,13863.2356666667,13861.804,2021-02-19
"47",13726.6913333333,13730.4313333333,13728.7033333333,2021-02-20
"48",13577.9776666667,13581.9413333333,13583.9636666667,2021-02-21
"49",13431.1586666667,13430.434,13427.693,2021-02-22
"50",13274.4976666667,13275.264,13272.4206666667,2021-02-23
"51",13116.8336666667,13113.7406666667,13118.4246666667,2021-02-24
"52",12956.7133333333,12959.415,12960.3683333333,2021-02-25
"53",12799.0723333333,12795.2546666667,12796.356,2021-02-26
"54",12638.455,12636.6536666667,12640.1773333333,2021-02-27
"55",15387.3456666667,15389.9173333333,15389.3813333333,2021-02-28
"56",16753.9956666667,16758.613,16757.1726666667,2021-03-01
"57",17807.5,17810.182,17802.8623333333,2021-03-02
"58",18636.2686666667,18635.5553333333,18642.766,2021-03-03
"59",19310.1273333333,19306.9813333333,19310.2786666667,2021-03-04
"60",19872.8243333333,19869.756,19868.394,2021-03-05
"61",20361.803,20360.4356666667,20359.8973333333,2021-03-06
"62",20796.3613333333,20802.154,20803.6976666667,2021-03-07
"63",21205.5573333333,21203.479,21201.6333333333,2021-03-08
"64",21585.0316666667,21589.7613333333,21584.4346666667,2021-03-09
"65",21950.57,21946.2266666667,21949.0186666667,2021-03-10
"66",22303.474,22309.4573333333,22305.441,2021-03-11
"67",22653.1293333333,22652.4263333333,22658.5203333333,2021-03-12
"68",23006.382,23002.5453333333,23006.7026666667,2021-03-13
"69",23354.547,23351.508,23350.9933333333,2021-03-14
"70",28690.3813333333,28690.8873333333,28688.108,2021-03-15
"71",32684.0936666667,32686.4336666667,32682.0823333333,2021-03-16
"72",36040.7146666667,36034.5916666667,36038.1416666667,2021-03-17
"73",39001.008,39003.349,38999.433,2021-03-18
"74",41744.886,41745.9096666667,41742.659,2021-03-19
"75",44377.576,44376.6896666667,44369.8373333333,2021-03-20
"76",46976.3573333333,46976.594,46983.0653333333,2021-03-21
"77",49602.2356666667,49595.8873333333,49587.3016666667,2021-03-22
"78",52266.0723333333,52272.9016666667,52269.054,2021-03-23
"79",55026.4246666667,55025.3816666667,55019.6516666667,2021-03-24
"80",57870.762,57863.286,57869.1566666667,2021-03-25
"81",60831.162,60819.4433333333,60832.0083333333,2021-03-26
"82",63899.3323333333,63920.6893333333,63914.4286666667,2021-03-27
"83",67126.409,67129.6416666667,67126.1456666667,2021-03-28
"84",70480.2683333333,70476.5156666667,70478.8513333333,2021-03-29
"85",66700.4176666667,66696.277,66706.987,2021-03-30
"86",74493.7266666667,74495.7173333333,74494.5876666667,2021-03-31
"87",81766.207,81770.1773333333,81772.1623333333,2021-04-01
"88",88858.2283333333,88862.2736666667,88859.173,2021-04-02
"89",95969.9576666667,95972.936,95974.4366666667,2021-04-03
"90",103264.589666667,103269.412333333,103264.789666667,2021-04-04
"91",110830.588666667,110845.077,110836.952333333,2021-04-05
"92",118781.209,118772.513,118774.717333333,2021-04-06
"93",127098.997,127101.354,127101.105666667,2021-04-07
"94",135880.665333333,135883.884333333,135890.032,2021-04-08
"95",145135.973333333,145139.261666667,145135.071666667,2021-04-09
"96",154867.037333333,154873.341333333,154884.513,2021-04-10
"97",165149.807,165148.189,165139.43,2021-04-11
"98",175936.752333333,175942.254666667,175949.656666667,2021-04-12
"99",187256.605333333,187256.962333333,187269.286,2021-04-13
"100",199135.980333333,199144.762,199143.046,2021-04-14
"101",211557.311333333,211551.550666667,211554.952333333,2021-04-15
"102",220626.915,220424.272666667,220399.062666667,2021-04-16
"103",229949.178333333,229624.315333333,229610.682,2021-04-17
"104",239385.529666667,239012.819333333,238976.479,2021-04-18
"105",248786.560666667,248419.991666667,248389.620333333,2021-04-19
"106",258081.559666667,257743.191333333,257703.748666667,2021-04-20
"107",267157.011666667,266899.502666667,266870.104,2021-04-21
"108",275955.059666667,275803.154,275793.649,2021-04-22
"109",284437.347333333,284428.617,284417.773333333,2021-04-23
"110",292506.405666667,292649.583,292663.667333333,2021-04-24
"111",300162.380666667,300491.423333333,300468.803333333,2021-04-25
"112",307325.533333333,307834.176666667,307835.251,2021-04-26
"113",313989.784333333,314682.975333333,314699.809333333,2021-04-27
"114",320101.410666667,320985.513666667,320990.673333333,2021-04-28
"115",325636.245666667,326672.642,326727.249666667,2021-04-29
"116",330579.269333333,331793.338666667,331812.709333333,2021-04-30
"117",334915.875333333,336240.390666667,336324.789333333,2021-05-01
"118",338632.712333333,340075.135666667,340123.907,2021-05-02
"119",341652.906333333,343216.929666667,343288.326666667,2021-05-03
"120",344052.136666667,345689.900666667,345792.792666667,2021-05-04
"121",345741.546,347501.207666667,347599.807,2021-05-05
"122",346883.987,348635.656,348734.333666667,2021-05-06
"123",347475.903333333,349125.605333333,349216.971666667,2021-05-07
"124",347462.969,348945.557333333,349046.054333333,2021-05-08
"125",346906.422333333,348150.834666667,348257.034666667,2021-05-09
"126",345837.877,346756.013333333,346882.448333333,2021-05-10
"127",344301.878333333,344732.394333333,344898.932666667,2021-05-11
"128",342405.873333333,342177.493666667,342381.700333333,2021-05-12
"129",340192.454,339054.525666667,339323.649333333,2021-05-13
"130",337719.581,335421.697666667,335763.896,2021-05-14
"131",335013.134666667,331354.046333333,331759.544666667,2021-05-15
"132",332130.818666667,326866.430333333,327320.002,2021-05-16
"133",328979.955666667,322034.308333333,322498.793333333,2021-05-17
"134",325706.993666667,316858.996,317352.796,2021-05-18
"135",322338.488,311394.310666667,311879.847,2021-05-19
"136",318940.916,305658.218333333,306146.014,2021-05-20
"137",315449.703333333,299722.946333333,300174.791666667,2021-05-21
"138",311825.795,293618.067,293994.191,2021-05-22
"139",308079.141,287439.027333333,287643.405,2021-05-23
"140",304291.264,281143.686666667,281181.844666667,2021-05-24
"141",300445.146,274816.478666667,274611.938,2021-05-25
"142",296539.290333333,268480.856333333,267978.481666667,2021-05-26
"143",292491.632,262118.917,261262.797666667,2021-05-27
"144",288294.254666667,255800.619333333,254560.319,2021-05-28
"145",283971.376333333,249517.042333333,247866.429333333,2021-05-29
"146",279555.896666667,243346.043666667,241199.132,2021-05-30
"147",275028.051666667,237304.027,234603.398666667,2021-05-31
"148",270415.649666667,231353.818666667,228055.461333333,2021-06-01
"149",265681.507,225501.672,221616.823,2021-06-02
"150",260824.338,219749.897,215222.147333333,2021-06-03
"151",255866.565666667,214099.25,208939.972,2021-06-04
"152",250840.697333333,208632.085,202784.196333333,2021-06-05
"153",245733.608666667,203273.301,196758.512333333,2021-06-06
"154",240555.457,198074.836666667,190871.013333333,2021-06-07
"155",235325.462333333,193016.628,185107.336,2021-06-08
"156",230019.543666667,188018.183,179487.991333333,2021-06-09
"157",224684.985333333,183116.418333333,174002.381333333,2021-06-10
"158",219318.482333333,178331.356666667,168669.426,2021-06-11
"159",213942.702333333,173648.97,163487.018,2021-06-12
"160",208561.099,169099.591,158454.296,2021-06-13
"161",203158.541666667,164647.028666667,153605.821333333,2021-06-14
"162",197816.482333333,160247.826666667,148894.804333333,2021-06-15
"163",192476.916333333,155942.145666667,144303.502,2021-06-16
"164",187183.375,151696.870666667,139868.938,2021-06-17
"165",181946.569666667,147564.172,135568.586333333,2021-06-18
"166",176756.802333333,143497.105666667,131380.017,2021-06-19
"167",171635.11,139498.414333333,127367.651666667,2021-06-20
"168",166571.127666667,135613.948333333,123471.278666667,2021-06-21
"169",161588.568666667,131780.636666667,119731.225666667,2021-06-22
"170",156667.172,128042.004333333,116085.622333333,2021-06-23
"171",151845.350333333,124332.671333333,112543.421666667,2021-06-24
"172",147106.479333333,120746.892666667,109114.148666667,2021-06-25
"173",142449.318,117209.495333333,105803.033333333,2021-06-26
"174",137900.972,113752.181333333,102588.438333333,2021-06-27
"175",133439.813,110384.369666667,99475.581,2021-06-28
"176",129065.023,107091.055,96457.6343333333,2021-06-29
"177",124803.362333333,103865.071666667,93540.1166666667,2021-06-30
"178",120632.437666667,100722.447666667,90717.9353333333,2021-07-01
"179",116578.113333333,97666.7696666667,87949.6653333333,2021-07-02
"180",112635.645666667,94666.618,85280.24,2021-07-03
"181",108763.679,91762.082,82686.64,2021-07-04
"182",105004.177666667,88918.924,80168.3413333333,2021-07-05
"183",101355.388666667,86162.875,77719.5863333333,2021-07-06
"184",97792.6643333333,83474.932,75359.071,2021-07-07
"185",94322.3993333333,80844.8756666667,73054.352,2021-07-08
"186",90926.9886666667,78304.3126666667,70820.9536666667,2021-07-09
"187",87617.5003333333,75832.2683333333,68633.024,2021-07-10
"188",84399.3116666667,73423.2626666667,66525.59,2021-07-11
"189",81279.8486666667,71086.7063333333,64465.8453333333,2021-07-12
"190",78234.182,68805.5003333333,62467.6306666667,2021-07-13
"191",75307.9396666667,66600.661,60534.858,2021-07-14
"192",72465.86,64448.9426666667,58654.3973333333,2021-07-15
"193",69721.9046666667,62373.796,56832.9973333333,2021-07-16
"194",67055.341,60350.2783333333,55050.2193333333,2021-07-17
"195",64490.6566666667,58381.215,53334.1326666667,2021-07-18
"196",62010.961,56479.531,51672.1606666667,2021-07-19
"197",59611.079,54627.473,50053.9956666667,2021-07-20
"198",57297.5023333333,52828.2636666667,48479.2613333333,2021-07-21
"199",55079.3706666667,51082.717,46957.2146666667,2021-07-22
"200",52924.8003333333,49382.0633333333,45475.3026666667,2021-07-23
"201",50857.0096666667,47716.0966666667,44048.4296666667,2021-07-24
"202",48862.9236666667,46097.3376666667,42660.4346666667,2021-07-25
"203",46927.1086666667,44524.3086666667,41302.9816666667,2021-07-26
"204",45087.626,42996,40006.043,2021-07-27
"205",43306.0383333333,41527.252,38742.152,2021-07-28
"206",41594.3903333333,40093.8113333333,37515.3733333333,2021-07-29
"207",39944.6523333333,38712.2763333333,36321.6936666667,2021-07-30
"208",38349.7936666667,37361.8013333333,35163.639,2021-07-31
"209",36833.375,36063.972,34046.1273333333,2021-08-01
"210",35363.589,34805.7763333333,32959.812,2021-08-02
"211",33948.8476666667,33597.31,31909.713,2021-08-03
"212",32595.7393333333,32416.8656666667,30887.7616666667,2021-08-04
"213",31294.4023333333,31278.3913333333,29895.5196666667,2021-08-05
"214",30039.1833333333,30183.4796666667,28920.7276666667,2021-08-06
"215",28825.2693333333,29119.3876666667,27976.3146666667,2021-08-07
"216",27673.3996666667,28090.2783333333,27053.623,2021-08-08
"217",26560.6846666667,27100.89,26167.5726666667,2021-08-09
"218",25495.5183333333,26150.583,25301.9456666667,2021-08-10
"219",24470.7163333333,25222.672,24465.5193333333,2021-08-11
"220",23485.9316666667,24327.288,23656.6446666667,2021-08-12
"221",22542.472,23463.6143333333,22866.4416666667,2021-08-13
"222",21629.586,22629.9343333333,22107.1203333333,2021-08-14
"223",20756.0533333333,21825.4966666667,21367.8863333333,2021-08-15
"224",19917.8763333333,21043.2073333333,20652.211,2021-08-16
"225",19113.6553333333,20301.151,19965.1333333333,2021-08-17
"226",18343.8203333333,19576.6733333333,19293.009,2021-08-18
"227",17602.1996666667,18880.001,18642.0163333333,2021-08-19
"228",16890.844,18203.2576666667,18014.7643333333,2021-08-20
"229",16210.38,17552.9416666667,17412.806,2021-08-21
"230",15548.9163333333,16920.906,16824.737,2021-08-22
"231",14924.0726666667,16316.6973333333,16260.2166666667,2021-08-23
"232",14319.2996666667,15734.4053333333,15708.546,2021-08-24
"233",13745.1973333333,15171.6363333333,15182.337,2021-08-25
"234",13184.017,14627.9873333333,14669.2006666667,2021-08-26
"235",12651.6853333333,14101.6843333333,14173.4533333333,2021-08-27
"236",12136.319,13595.898,13689.82,2021-08-28
"237",11645.5143333333,13109.5156666667,13229.1776666667,2021-08-29
"238",11177.0376666667,12637.8823333333,12779.6836666667,2021-08-30
