"","value","dates"
"1",417561,2020-12-03
"2",453429.422666667,2020-12-04
"3",477575.293666667,2020-12-05
"4",493320.258,2020-12-06
"5",503083.523,2020-12-07
"6",508591.667666667,2020-12-08
"7",511081.530666667,2020-12-09
"8",511452.627,2020-12-10
"9",510348.223333333,2020-12-11
"10",508197.160666667,2020-12-12
"11",505350.641666667,2020-12-13
"12",502035.059666667,2020-12-14
"13",498410.143333333,2020-12-15
"14",494593.511666667,2020-12-16
"15",490665.451,2020-12-17
"16",486682.990333333,2020-12-18
"17",482694.906666667,2020-12-19
"18",478714.518333333,2020-12-20
"19",474762.259333333,2020-12-21
"20",470856.432,2020-12-22
"21",467000.133333333,2020-12-23
"22",463189.896666667,2020-12-24
"23",459439.459,2020-12-25
"24",455737.748333333,2020-12-26
"25",452589.089666667,2020-12-27
"26",448451.161666667,2020-12-28
"27",443582.043666667,2020-12-29
"28",438171.985333333,2020-12-30
"29",432370.455,2020-12-31
"30",426277.906333333,2021-01-01
"31",419986.758666667,2021-01-02
"32",413541.513,2021-01-03
"33",406997.073,2021-01-04
"34",400401.580333333,2021-01-05
"35",393776.06,2021-01-06
"36",387136.305,2021-01-07
"37",380501.328666667,2021-01-08
"38",373887.750666667,2021-01-09
"39",367302.723666667,2021-01-10
"40",362605.009333333,2021-01-11
"41",357764.509666667,2021-01-12
"42",352798.387333333,2021-01-13
"43",347743.234666667,2021-01-14
"44",342612.067666667,2021-01-15
"45",337422.576666667,2021-01-16
"46",332188.278333333,2021-01-17
"47",326921.681333333,2021-01-18
"48",321635.635333333,2021-01-19
"49",316336.394,2021-01-20
"50",311036.003333333,2021-01-21
"51",305743.295333333,2021-01-22
"52",300457.329,2021-01-23
"53",295189.805333333,2021-01-24
"54",289943.362333333,2021-01-25
"55",287351.503666667,2021-01-26
"56",284593.713333333,2021-01-27
"57",281685.999,2021-01-28
"58",278643.085,2021-01-29
"59",275469.307,2021-01-30
"60",272176.848333333,2021-01-31
"61",268790.269666667,2021-02-01
"62",265317.285666667,2021-02-02
"63",261766.511,2021-02-03
"64",258148.672333333,2021-02-04
"65",254479.668333333,2021-02-05
"66",250761.015333333,2021-02-06
"67",247002.344,2021-02-07
"68",243216.063,2021-02-08
"69",239408.03,2021-02-09
"70",235128.528333333,2021-02-10
"71",232099.223666667,2021-02-11
"72",229990.050333333,2021-02-12
"73",228569.651333333,2021-02-13
"74",227666.971,2021-02-14
"75",227161.806,2021-02-15
"76",226971.767,2021-02-16
"77",227026.701666667,2021-02-17
"78",227284.249333333,2021-02-18
"79",227720.543666667,2021-02-19
"80",228297.432666667,2021-02-20
"81",229001.047666667,2021-02-21
"82",229814.218333333,2021-02-22
"83",230732.578666667,2021-02-23
"84",231744.191333333,2021-02-24
"85",233459.027333333,2021-02-25
"86",235796.332333333,2021-02-26
"87",238627.416,2021-02-27
"88",241838.202333333,2021-02-28
"89",245365.519333333,2021-03-01
"90",249159.348,2021-03-02
"91",253186.979666667,2021-03-03
"92",257418.71,2021-03-04
"93",261848.821,2021-03-05
"94",266455.942666667,2021-03-06
"95",271229.334666667,2021-03-07
"96",276164.326666667,2021-03-08
"97",281263.050333333,2021-03-09
"98",286514.661333333,2021-03-10
"99",291922.343333333,2021-03-11
"100",297476.227666667,2021-03-12
"101",303178.282333333,2021-03-13
"102",308615.126666667,2021-03-14
"103",313835.341,2021-03-15
"104",318877.11,2021-03-16
"105",323752.691333333,2021-03-17
"106",328474.859333333,2021-03-18
"107",333048.806,2021-03-19
"108",337475.024333333,2021-03-20
"109",341757.303666667,2021-03-21
"110",345884.445,2021-03-22
"111",349868.936333333,2021-03-23
"112",353694.366666667,2021-03-24
"113",357357.793,2021-03-25
"114",360851.575666667,2021-03-26
"115",364191.532666667,2021-03-27
"116",367364.392333333,2021-03-28
"117",370358.052333333,2021-03-29
"118",373188.234,2021-03-30
"119",375839.449333333,2021-03-31
"120",378314.575,2021-04-01
"121",380620.644,2021-04-02
"122",382744.223666667,2021-04-03
"123",384693.942333333,2021-04-04
"124",386474.401,2021-04-05
"125",388074.997333333,2021-04-06
"126",389497.941333333,2021-04-07
"127",390762.172666667,2021-04-08
"128",391856.186666667,2021-04-09
"129",392771.845666667,2021-04-10
