"","value","dates"
"1",492008,2020-11-11
"2",541380.978666667,2020-11-12
"3",575826.501666667,2020-11-13
"4",599827.723666667,2020-11-14
"5",616524.254333333,2020-11-15
"6",628145.218,2020-11-16
"7",636250.277,2020-11-17
"8",641943.598666667,2020-11-18
"9",645997.282333333,2020-11-19
"10",648962.585666667,2020-11-20
"11",651217.300333333,2020-11-21
"12",653017.166333333,2020-11-22
"13",654539.437,2020-11-23
"14",655926.547,2020-11-24
"15",657256.882333333,2020-11-25
"16",658574.836666667,2020-11-26
"17",659922.819333333,2020-11-27
"18",661328.435,2020-11-28
"19",662794.928666667,2020-11-29
"20",664330.677333333,2020-11-30
"21",665940.531,2020-12-01
"22",667627.762666667,2020-12-02
"23",669375.035333333,2020-12-03
"24",671185.874333333,2020-12-04
"25",701397.841666667,2020-12-05
"26",718120.257333333,2020-12-06
"27",724378.103666667,2020-12-07
"28",722586.799,2020-12-08
"29",714646.417,2020-12-09
"30",702068.793666667,2020-12-10
"31",686033.395666667,2020-12-11
"32",667478.938666667,2020-12-12
"33",647154.676,2020-12-13
"34",625640.060333333,2020-12-14
"35",603392.748333333,2020-12-15
"36",580773.878,2020-12-16
"37",558052.457666667,2020-12-17
"38",535453.278333333,2020-12-18
"39",513134.832333333,2020-12-19
"40",505654.898666667,2020-12-20
"41",499368.772,2020-12-21
"42",493712.442666667,2020-12-22
"43",488283.127,2020-12-23
"44",482808.503,2020-12-24
"45",477113.962333333,2020-12-25
"46",471083.383,2020-12-26
"47",464637.231333333,2020-12-27
"48",457752.957,2020-12-28
"49",450426.268,2020-12-29
"50",442673.474666667,2020-12-30
"51",434525.399333333,2020-12-31
"52",426019.797,2021-01-01
"53",417181.109666667,2021-01-02
"54",408069.505666667,2021-01-03
"55",401170.118333333,2021-01-04
"56",395164.541333333,2021-01-05
"57",389696.803333333,2021-01-06
"58",384530.182666667,2021-01-07
"59",379478.425,2021-01-08
"60",374432.041,2021-01-09
"61",369303.685333333,2021-01-10
"62",364045.901666667,2021-01-11
"63",358636.207666667,2021-01-12
"64",353057.672,2021-01-13
"65",347311.356,2021-01-14
"66",341398.867,2021-01-15
"67",335344.425666667,2021-01-16
"68",329150.937,2021-01-17
"69",322842.093,2021-01-18
"70",317990.323333333,2021-01-19
