January 1
"13.0
8.1 [0.0, 44.2]
5.0 [-31.2, 13.0]
38.2% [-239.5%, 100.0%]"
"24.9
8.4 [0.0, 45.9]
16.5 [-21.1, 24.9]
66.4% [-84.8%, 100.0%]"
"62.4
8.6 [0.0, 48.3]
53.7 [14.0, 62.4]
86.2% [22.5%, 100.0%]"
"120.8
8.9 [0.0, 52.6]
111.9 [68.3, 120.8]
92.6% [56.5%, 100.0%]"
"179.7
9.4 [0.0, 61.6]
170.3 [118.1, 179.7]
94.8% [65.7%, 100.0%]"
"230.1
10.0 [0.0, 84.9]
220.1 [145.2, 230.1]
95.6% [63.1%, 100.0%]"
