January 1
"1.8
0.8 [0.0, 4.9]
1.0 [-3.1, 1.8]
54.8% [-169.7%, 100.0%]"
"4.0
0.9 [0.0, 5.4]
3.1 [-1.4, 4.0]
77.8% [-35.8%, 100.0%]"
"8.8
0.9 [0.0, 5.8]
7.9 [3.1, 8.8]
89.6% [34.8%, 100.0%]"
"14.4
0.9 [0.0, 6.1]
13.4 [8.2, 14.4]
93.4% [57.4%, 100.0%]"
"17.7
1.0 [0.0, 6.5]
16.7 [11.2, 17.7]
94.5% [63.4%, 100.0%]"
"19.3
1.0 [0.0, 6.8]
18.3 [12.5, 19.3]
94.8% [64.7%, 100.0%]"
