State,metric.case,tier.case,metric.death,tier.death
Andaman & Nicobar Island,0.9231411344677636,< 1,1.965330117576123,1 - 2
Andhra Pradesh,2.0936568221353036,2 - 3,1.2232248665169299,1 - 2
Arunanchal Pradesh,1.4330552863248078,1 - 2,2.422229639519359,2 - 3
Assam,2.0873861572820616,2 - 3,4.853819303093034,4 - 5
Bihar,4.00340910113067,4 - 5,5.6187367800003765,> 5
Chandigarh,4.276096479937322,4 - 5,2.7588785046728974,2 - 3
Chhattisgarh,4.953759403809531,4 - 5,5.66492162192352,> 5
NCT of Delhi,3.025113508412324,3 - 4,3.171878577120916,3 - 4
Goa,4.341951710786539,4 - 5,5.528986377723855,> 5
Gujarat,5.160504993245131,> 5,4.185932449700584,4 - 5
Himachal Pradesh,5.2633321485449365,> 5,5.0806507442021465,> 5
Haryana,4.268951348385317,4 - 5,4.0762143394515915,4 - 5
Jharkhand,4.270491492631269,4 - 5,8.367827494387303,> 5
Jammu & Kashmir,3.1508628837410098,3 - 4,2.3742458298828817,2 - 3
Karnataka,4.066192952796537,4 - 5,3.17465729786441,3 - 4
Kerala,3.5206559608943566,3 - 4,2.819279160368722,2 - 3
Maharashtra,4.3265868218309596,4 - 5,2.1105566863160763,2 - 3
Meghalaya,3.5845430126514324,3 - 4,6.725157352660691,> 5
Manipur,1.7218641221839783,1 - 2,2.675051990679261,2 - 3
Madhya Pradesh,4.864797482561303,4 - 5,2.875018959084228,2 - 3
Mizoram,4.12577155112289,4 - 5,7.919003115264798,> 5
Nagaland,1.8154339651671587,1 - 2,7.184579439252337,> 5
Odisha,2.9646754918531175,2 - 3,0.9950826743350109,< 1
Punjab,5.201024809407416,> 5,3.6157917535936743,3 - 4
Puducherry,3.805513154948593,3 - 4,3.0982811180604255,3 - 4
Rajasthan,4.655346655266344,4 - 5,5.135098691439789,> 5
Sikkim,3.494746561139838,3 - 4,2.009553478712357,2 - 3
Telangana,2.2201498251745115,2 - 3,2.6614875389408104,2 - 3
Tamil Nadu,3.5799672514972296,3 - 4,2.25574084389901,2 - 3
Tripura,1.2621540487717324,1 - 2,0.7247699775411142,< 1
Uttar Pradesh,4.248879202429048,4 - 5,3.254664486654152,3 - 4
Uttarakhand,5.6296889501090215,> 5,6.613104392354362,> 5
West Bengal,3.2879979655277856,3 - 4,1.2486283309743462,1 - 2
