day,date,cfr_mod_daily,cfr_mod_t7,cfr_mod_smooth,cfr_high_daily,cfr_high_t7,cfr_high_smooth,cfr_low_daily,cfr_low_t7,cfr_low_smooth
1,2021-02-15,0.00955822356918056,0.00766047446489387,0.00929666322327939,0.0118069815195072,0.0131066118535259,0.0195054389767913,0.00375831165076612,0.0029997067535025,0.00294439749086584
2,2021-02-16,0.00899918189255522,0.00789144441965603,0.00917513030758527,0.0202387130254281,0.0139188544924421,0.0192629896278448,0.00314905528341498,0.0030182535492286,0.00291804370237973
3,2021-02-17,0.00773694390715667,0.00763688431224247,0.00906391864070916,0.0133689839572193,0.0138546355131121,0.0190168377220221,0.00251730648206419,0.00292347247690389,0.00289828753158311
4,2021-02-18,0.0080638658172728,0.00814679359384949,0.00896156533797706,0.0138888888888889,0.0146025463077519,0.0187528917075861,0.00229432972795805,0.00285516485158631,0.0028851939935879
5,2021-02-19,0.00853898044573478,0.00822851841534505,0.00886660751471492,0.0167427701674277,0.0151384135106154,0.0184570600328001,0.00267379679144385,0.0028268887618965,0.00287882810350601
6,2021-02-20,0.00737426464495816,0.00830942411743046,0.00877758228624873,0.0144508670520231,0.0151387274892585,0.0181152511459273,0.00218781555031976,0.00277558247379692,0.00287925487644938
7,2021-02-21,0.00704225352112676,0.00818767339971216,0.00869496540107134,0.0130939019827909,0.0147987295133267,0.0177336594493701,0.00246913580246914,0.00272139304120515,0.00288632183134686
8,2021-02-22,0.0087205966724039,0.00806801241445836,0.00862084629723874,0.00812274368231047,0.0142724098222986,0.0173323254213228,0.00427578834847675,0.00279531828373524,0.00289990602641873
9,2021-02-23,0.00959835989190197,0.00815360927150789,0.00855618262442158,0.0202783300198807,0.0142780693929347,0.0169179266237355,0.00268507863444572,0.00272903590531106,0.00292011678571396
10,2021-02-24,0.011244915862509,0.00865474812227251,0.00850193203229055,0.0231816864676905,0.0156798840372878,0.0164971406185586,0.0028428093645485,0.00277553631709454,0.00294706343328157
11,2021-02-25,0.012723190420186,0.00932036592268869,0.00845905217051632,0.0858895705521472,0.0259656957034675,0.0160766449677424,0.00265101306570725,0.00282649107963014,0.00298085529317052
12,2021-02-26,0.00939276592238609,0.00944233527649602,0.00842661464354113,0.0130790190735695,0.0254423026900592,0.0156373768853078,0.00259403372243839,0.0028150963554865,0.00302196665176747
13,2021-02-27,0.00909985243482538,0.00968884781790562,0.00840327175929872,0.0141235114926613,0.0253955376101504,0.0151615129501098,0.00329007494059587,0.0029725619826688,0.00307063678026144
14,2021-02-28,0.00922603792926704,0.0100008170190685,0.00838935222269704,0.0151515151515152,0.0256894823485396,0.0146575897713493,0.00325238508239376,0.00308445473694375,0.00312662247990498
15,2021-03-01,0.0101254677525864,0.010201512887666,0.00838518473864404,0.00891530460624071,0.0258027053376725,0.0141341439582274,0.00450762829403606,0.00311757472916651,0.00318968055195068
16,2021-03-02,0.00845410628019324,0.0100380480859933,0.00839109801204765,0.0147420147420147,0.0250118031551202,0.0135997121199451,0.00324083451488758,0.00319696842637249,0.0032595677976511
17,2021-03-03,0.00676411133571762,0.00939793315359457,0.00840742074781582,0.00877376227282223,0.022953528270139,0.0130628308657036,0.00306623058053966,0.00322888574294265,0.00333604101825882
18,2021-03-04,0.00853667749490066,0.0087998598785538,0.00843448165085649,0.0110558319513543,0.0122629941843114,0.0125320368047038,0.00305410122164049,0.00328646976521883,0.0034188570150264
19,2021-03-05,0.00783271054900834,0.00857699482521412,0.00847260942607761,0.00867146596858639,0.0116333437407424,0.0120158665461468,0.00355160932297447,0.00342326627958113,0.00350777258920641
20,2021-03-06,0.0071844241684029,0.00830336221572519,0.00852213277838711,0.00748288489094093,0.0106846827976395,0.0115228566992336,0.00344086021505376,0.00344480703307511,0.00360254454205143
21,2021-03-07,0.00679366858103376,0.0079558808802633,0.00858338041269293,0.00545115478410558,0.00929891703086671,0.0110615438731653,0.00319410319410319,0.0034364810490336,0.00370292967481402
22,2021-03-08,0.007242233657328,0.00754399029522638,0.00864790328690716,0.00422264875239923,0.00862853762317507,0.0104853533404463,0.0054249547920434,0.00356752769160608,0.00381212782248332
