place,case_metric,case_tier,death_metric,death_tier
Andaman & Nicobar Island,0.744661896140472,< 1,1.5823732718894,1 - 2
Andhra Pradesh,1.78623598122753,1 - 2,1.28502339936257,1 - 2
Arunanchal Pradesh,2.73553644993731,2 - 3,4.52359693877551,4 - 5
Assam,2.3919395140848,2 - 3,5.66308089500861,> 5
Bihar,2.65333539575599,2 - 3,7.98424158111868,> 5
Chandigarh,2.85723353293413,2 - 3,2.00693277310924,2 - 3
Chhattisgarh,3.30053243015339,3 - 4,3.79314171883893,3 - 4
Dadra and Nagar Haveli and Daman and Diu,3.17625937606546,3 - 4,1.46428571428571,1 - 2
Goa,3.18728098162772,3 - 4,4.45873117884686,4 - 5
Gujarat,3.38162511895678,3 - 4,2.78528341631559,2 - 3
Haryana,2.79294512482016,2 - 3,3.25309146898908,3 - 4
Himachal Pradesh,3.75048947414017,3 - 4,3.80533509700176,3 - 4
India,2.8677080632616,2 - 3,2.68043390460619,2 - 3
Jammu & Kashmir,2.38334858242688,2 - 3,1.87592299578059,1 - 2
Jharkhand,2.83690029864378,2 - 3,5.51629422718808,> 5
Karnataka,3.05901104990881,3 - 4,2.91979965299758,2 - 3
Kerala,3.51128225761048,3 - 4,4.74753227031131,4 - 5
Ladakh,1.6252249482619,1 - 2,0.874031007751938,< 1
Lakshadweep,,,,
Madhya Pradesh,3.16836022002938,3 - 4,2.88795683513889,2 - 3
Maharashtra,3.17182039864176,3 - 4,2.49203209291755,2 - 3
Manipur,3.52449574871271,3 - 4,4.6441018766756,4 - 5
Meghalaya,5.38190609865194,> 5,9.33357628765792,> 5
Mizoram,11.4984674840085,,22.6150793650794,
NCT of Delhi,1.95117611440915,1 - 2,2.14368401624216,2 - 3
Nagaland,1.910133746689,1 - 2,7.95373376623377,> 5
Odisha,2.82273965830563,2 - 3,2.99765567765568,2 - 3
Puducherry,3.03746922044526,3 - 4,2.55409100853205,2 - 3
Punjab,3.57903042889003,3 - 4,2.75616485272852,2 - 3
Rajasthan,3.03045258990045,3 - 4,3.60264476456186,3 - 4
Sikkim,4.9427202567794,4 - 5,2.26693121693122,2 - 3
Tamil Nadu,3.1235352270498,3 - 4,2.6333074405256,2 - 3
Telangana,1.74806555366783,1 - 2,2.22490079365079,2 - 3
Tripura,2.03490818626521,2 - 3,1.37726098191214,1 - 2
Uttar Pradesh,2.74824364910934,2 - 3,2.46981812883541,2 - 3
Uttarakhand,3.78039370563991,3 - 4,5.01511237406355,> 5
West Bengal,2.48913021104529,2 - 3,1.18382685930492,1 - 2
