State,metric.case,tier.case,metric.death,tier.death
Andaman & Nicobar Island,0.7631795660703725,< 1,1.6242826043934298,1 - 2
Andhra Pradesh,1.8364177331352332,1 - 2,1.319699200910272,1 - 2
Arunanchal Pradesh,2.810313113318196,2 - 3,4.6434049079754605,4 - 5
Assam,2.468231520874028,2 - 3,5.791394032863478,> 5
Bihar,2.7295172936183874,2 - 3,8.19965261303485,> 5
Chandigarh,2.9090496207829766,2 - 3,2.0348545187098623,2 - 3
Chhattisgarh,3.3731447063380773,3 - 4,3.8695738946589584,3 - 4
NCT of Delhi,2.043829546047192,2 - 3,2.3836592786342665,2 - 3
Goa,3.266169337762292,3 - 4,4.514939352784152,4 - 5
Gujarat,3.488974919206039,3 - 4,3.0334051371365343,3 - 4
Himachal Pradesh,3.8467975379339276,3 - 4,3.8950126604603112,3 - 4
Haryana,2.8913715927909425,2 - 3,3.407745504257348,3 - 4
Jharkhand,2.9112271363336313,2 - 3,5.664869438933327,> 5
Jammu & Kashmir,2.4512420938424127,2 - 3,1.9349100280520901,1 - 2
Karnataka,3.134894862570535,3 - 4,2.9992174989815386,2 - 3
Kerala,3.4960995734506404,3 - 4,4.755294745265405,4 - 5
Maharashtra,3.2362020597511227,3 - 4,2.6554257696501926,2 - 3
Meghalaya,5.519499918144515,> 5,9.58077709611452,> 5
Manipur,3.6382646819426023,3 - 4,4.767101432589352,4 - 5
Madhya Pradesh,3.2430638664535327,3 - 4,2.9850973958352363,2 - 3
Mizoram,11.853072586358783,NA,20.74233128834356,NA
Nagaland,1.9644608457237762,1 - 2,7.845681925436526,> 5
Odisha,2.9015920225808154,2 - 3,3.0715861661470383,3 - 4
Punjab,3.6480317457414446,3 - 4,2.8100364145019423,2 - 3
Puducherry,3.1163714051509985,3 - 4,2.6085345490703737,2 - 3
Rajasthan,3.1221379020129616,3 - 4,3.781259456931415,3 - 4
Sikkim,5.06863344976538,> 5,2.3269711429220634,2 - 3
Telangana,1.796115195268963,1 - 2,2.2962068090850853,2 - 3
Tamil Nadu,3.239660004155797,3 - 4,2.7510242684001067,2 - 3
Tripura,2.1007468658308883,2 - 3,1.4137378925508473,1 - 2
Uttar Pradesh,2.832847555556076,2 - 3,2.5672604672365185,2 - 3
Uttarakhand,3.882457111391499,3 - 4,5.147416874495844,> 5
West Bengal,2.5607055552966136,2 - 3,1.2210393916655045,1 - 2
Lakshadweep,NA,NA,NA,NA
