March 15,March 30,April 15
"3.6
0.4 [0.0, 6.2]
3.2 [-2.5, 3.6]
88.8% [-70.6%, 100.0%]",-,-
"15.4
0.7 [0.0, 11.1]
14.7 [4.4, 15.4]
95.2% [28.4%, 100.0%]","11.8
1.9 [0.0, 11.4]
10.0 [0.5, 11.8]
84.3% [4.0%, 100.0%]",-
"52.9
1.0 [0.0, 18.4]
52.0 [34.6, 52.9]
98.2% [65.3%, 100.0%]","49.3
3.5 [0.0, 21.8]
45.8 [27.6, 49.3]
92.8% [55.9%, 100.0%]","37.5
14.9 [0.0, 36.1]
22.7 [1.4, 37.5]
60.4% [3.9%, 100.0%]"
"111.4
1.3 [0.0, 30.5]
110.1 [81.0, 111.4]
98.8% [72.7%, 100.0%]","107.8
5.6 [0.0, 37.2]
102.3 [70.6, 107.8]
94.9% [65.5%, 100.0%]","96.0
34.9 [0.0, 80.7]
61.1 [15.3, 96.0]
63.7% [15.9%, 100.0%]"
"170.2
1.9 [0.0, 63.1]
168.4 [107.2, 170.2]
98.9% [62.9%, 100.0%]","166.6
8.9 [0.0, 76.4]
157.8 [90.3, 166.6]
94.7% [54.2%, 100.0%]","154.8
67.5 [0.0, 170.0]
87.3 [-15.2, 154.8]
56.4% [-9.8%, 100.0%]"
"220.7
3.0 [0.0, 163.3]
217.7 [57.4, 220.7]
98.6% [26.0%, 100.0%]","217.1
15.3 [0.0, 190.1]
201.8 [27.0, 217.1]
93.0% [12.4%, 100.0%]","205.3
131.6 [0.0, 401.4]
73.7 [-196.2, 205.3]
35.9% [-95.6%, 100.0%]"
