March 15,March 30,April 15
"3.6
1.0 [0.0, 12.8]
2.6 [-9.2, 3.6]
72.6% [-253.9%, 100.0%]",-,-
"15.4
1.4 [0.0, 15.5]
14.0 [-0.1, 15.4]
90.9% [-0.5%, 100.0%]","11.8
2.1 [0.0, 11.3]
9.8 [0.6, 11.8]
82.5% [4.7%, 100.0%]",-
"52.9
1.5 [0.0, 15.9]
51.5 [37.0, 52.9]
97.2% [69.9%, 100.0%]","49.3
2.6 [0.0, 12.5]
46.8 [36.8, 49.3]
94.8% [74.6%, 100.0%]","37.5
3.5 [0.0, 8.3]
34.0 [29.2, 37.5]
90.6% [78.0%, 100.0%]"
"111.4
1.6 [0.0, 16.3]
109.9 [95.1, 111.4]
98.6% [85.4%, 100.0%]","107.8
3.0 [0.0, 13.7]
104.8 [94.2, 107.8]
97.2% [87.3%, 100.0%]","96.0
7.1 [0.2, 15.5]
88.9 [80.5, 95.7]
92.6% [83.8%, 99.7%]"
"170.2
1.8 [0.0, 18.9]
168.5 [151.4, 170.2]
99.0% [88.9%, 100.0%]","166.6
4.1 [0.0, 19.2]
162.5 [147.4, 166.6]
97.5% [88.4%, 100.0%]","154.8
17.7 [0.2, 41.7]
137.0 [113.1, 154.6]
88.5% [73.1%, 99.9%]"
"220.7
2.3 [0.0, 28.6]
218.5 [192.1, 220.7]
99.0% [87.0%, 100.0%]","217.1
7.1 [0.0, 36.7]
210.0 [180.4, 217.1]
96.7% [83.1%, 100.0%]","205.3
45.2 [0.0, 117.5]
160.1 [87.8, 205.3]
78.0% [42.8%, 100.0%]"
